Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11
2.000000e+001	1.4962e-026	-2.0322e-025	4.7754e-025	-7.5075e-025	1.0205e-024	-1.2883e-024	1.5552e-024	-1.8219e-024	2.0890e-024	-2.3654e-024	2.7410e-024
3.000000e+001	1.4547e-025	-1.8206e-024	4.1492e-024	-6.4153e-024	8.6223e-024	-1.0792e-023	1.2940e-023	-1.5073e-023	1.7198e-023	-1.9390e-023	2.2381e-023
4.000000e+001	1.5140e-024	-1.7543e-023	3.8845e-023	-5.9127e-023	7.8629e-023	-9.7635e-023	1.1631e-022	-1.3476e-022	1.5306e-022	-1.7187e-022	1.9765e-022
5.000000e+001	1.5447e-023	-1.6547e-022	3.5578e-022	-5.3294e-022	7.0109e-022	-8.6347e-022	1.0219e-021	-1.1775e-021	1.3312e-021	-1.4886e-021	1.7055e-021
6.000000e+001	1.5431e-022	-1.5253e-021	3.1824e-021	-4.6897e-021	6.1012e-021	-7.4516e-021	8.7599e-021	-1.0037e-020	1.1292e-020	-1.2575e-020	1.4351e-020
7.000000e+001	1.5085e-021	-1.3734e-020	2.7785e-020	-4.0262e-020	5.1787e-020	-6.2709e-020	7.3212e-020	-8.3407e-020	9.3373e-020	-1.0353e-019	1.1768e-019
8.000000e+001	1.4424e-020	-1.2072e-019	2.3663e-019	-3.3704e-019	4.2847e-019	-5.1427e-019	5.9617e-019	-6.7519e-019	7.5203e-019	-8.3009e-019	9.3971e-019
9.000000e+001	1.3484e-019	-1.0353e-018	1.9646e-018	-2.7490e-018	3.4531e-018	-4.1072e-018	4.7267e-018	-5.3207e-018	5.8954e-018	-6.4775e-018	7.3022e-018
1.000000e+002	1.2317e-018	-8.6568e-018	1.5888e-017	-2.1832e-017	2.7088e-017	-3.1919e-017	3.6460e-017	-4.0786e-017	4.4949e-017	-4.9155e-017	5.5173e-017
1.100000e+002	1.0987e-017	-7.0527e-017	1.2509e-016	-1.6870e-016	2.0666e-016	-2.4120e-016	2.7340e-016	-3.0387e-016	3.3304e-016	-3.6243e-016	4.0500e-016
