Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11
2.000000e+001	1.4963e-026	-2.0326e-025	4.7773e-025	-7.5119e-025	1.0212e-024	-1.2893e-024	1.5564e-024	-1.8233e-024	2.0907e-024	-2.3719e-024	2.7804e-024
3.000000e+001	1.4547e-025	-1.8209e-024	4.1509e-024	-6.4190e-024	8.6283e-024	-1.0801e-023	1.2950e-023	-1.5084e-023	1.7211e-023	-1.9443e-023	2.2701e-023
4.000000e+001	1.5140e-024	-1.7546e-023	3.8860e-023	-5.9160e-023	7.8683e-023	-9.7709e-023	1.1640e-022	-1.3486e-022	1.5317e-022	-1.7233e-022	2.0046e-022
5.000000e+001	1.5447e-023	-1.6549e-022	3.5591e-022	-5.3324e-022	7.0156e-022	-8.6411e-022	1.0227e-021	-1.1784e-021	1.3322e-021	-1.4926e-021	1.7296e-021
6.000000e+001	1.5431e-022	-1.5255e-021	3.1836e-021	-4.6922e-021	6.1052e-021	-7.4570e-021	8.7664e-021	-1.0044e-020	1.1301e-020	-1.2608e-020	1.4553e-020
7.000000e+001	1.5085e-021	-1.3736e-020	2.7795e-020	-4.0284e-020	5.1821e-020	-6.2753e-020	7.3265e-020	-8.3465e-020	9.3438e-020	-1.0380e-019	1.1933e-019
8.000000e+001	1.4424e-020	-1.2074e-019	2.3672e-019	-3.3721e-019	4.2875e-019	-5.1463e-019	5.9659e-019	-6.7564e-019	7.5254e-019	-8.3227e-019	9.5282e-019
9.000000e+001	1.3484e-019	-1.0355e-018	1.9652e-018	-2.7504e-018	3.4553e-018	-4.1100e-018	4.7300e-018	-5.3242e-018	5.8993e-018	-6.4944e-018	7.4035e-018
1.000000e+002	1.2317e-018	-8.6580e-018	1.5894e-017	-2.1843e-017	2.7104e-017	-3.1940e-017	3.6484e-017	-4.0811e-017	4.4978e-017	-4.9281e-017	5.5935e-017
1.100000e+002	1.0987e-017	-7.0536e-017	1.2513e-016	-1.6878e-016	2.0678e-016	-2.4135e-016	2.7357e-016	-3.0405e-016	3.3324e-016	-3.6336e-016	4.1056e-016
1.200000e+002	9.5656e-017	-5.5951e-016	9.5821e-016	-1.2678e-015	1.5331e-015	-1.7718e-015	1.9925e-015	-2.1998e-015	2.3973e-015	-2.6008e-015	2.9250e-015
1.300000e+002	8.1230e-016	-4.3180e-015	7.1317e-015	-9.2509e-015	1.1037e-014	-1.2626e-014	1.4082e-014	-1.5441e-014	1.6729e-014	-1.8055e-014	2.0208e-014
1.400000e+002	6.7238e-015	-3.2395e-014	5.1544e-014	-6.5507e-014	7.7073e-014	-8.7246e-014	9.6489e-014	-1.0506e-013	1.1312e-013	-1.2144e-013	1.3525e-013
