Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	hh Psi 1	hh Psi 2	hh Psi 3	hh Psi 4	hh Psi 5	hh Psi 6	hh Psi 7	hh Psi 8	lh Psi 1	lh Psi 2	lh Psi 3
2.000000e+001	2.2797e-004	7.9750e-004	-3.7402e-003	-5.7621e-002	1.4089e-006	-3.5617e-006	-7.9946e-006	1.9315e-005	5.5235e-005	-2.0801e-004	-1.2833e-003	3.5095e-002	8.7569e-004	3.1537e-003	-1.5473e-002
3.000000e+001	3.4687e-004	1.1237e-003	-4.5900e-003	-5.8214e-002	4.0042e-006	-9.7473e-006	-2.0508e-005	4.5074e-005	1.1325e-004	-3.5905e-004	-1.7648e-003	3.6072e-002	1.1319e-003	3.8188e-003	-1.6809e-002
4.000000e+001	6.4668e-004	1.9095e-003	-6.4828e-003	-5.9405e-002	1.3976e-005	-3.2861e-005	-6.5120e-005	1.3094e-004	2.9021e-004	-7.7081e-004	-2.9083e-003	3.8054e-002	1.7195e-003	5.2893e-003	-1.9595e-002
5.000000e+001	1.2838e-003	3.4765e-003	-9.8486e-003	-6.1207e-002	4.9690e-005	-1.1304e-004	-2.1166e-004	3.9144e-004	7.7199e-004	-1.7423e-003	-5.1429e-003	4.1095e-002	2.8102e-003	7.8753e-003	-2.4072e-002
6.000000e+001	2.5905e-003	6.4654e-003	-1.5452e-002	-6.3639e-002	1.7694e-004	-3.8955e-004	-6.8948e-004	1.1740e-003	2.0646e-003	-3.9789e-003	-9.3068e-003	4.5281e-002	4.7233e-003	1.2122e-002	-3.0626e-002
7.000000e+001	5.2483e-003	1.2099e-002	-2.4567e-002	-6.6725e-002	6.3011e-004	-1.3426e-003	-2.2465e-003	3.5221e-003	5.5257e-003	-9.1046e-003	-1.6962e-002	5.0728e-002	8.0186e-003	1.8926e-002	-3.9824e-002
8.000000e+001	1.0643e-002	2.2681e-002	-3.9263e-002	-7.0497e-002	2.2440e-003	-4.6273e-003	-7.3196e-003	1.0567e-002	1.4790e-002	-2.0841e-002	-3.0981e-002	5.7587e-002	1.3660e-002	2.9721e-002	-5.2459e-002
9.000000e+001	2.1590e-002	4.2541e-002	-6.2881e-002	-7.4994e-002	7.9914e-003	-1.5948e-002	-2.3849e-002	3.1705e-002	3.9590e-002	-4.7712e-002	-5.6623e-002	6.6050e-002	2.3300e-002	4.6783e-002	-6.9620e-002
1.000000e+002	4.0788e-002	7.4754e-002	-9.5651e-002	-7.9549e-002	2.8265e-002	-5.4595e-002	-7.7196e-002	9.4523e-002	1.0534e-001	-1.0864e-001	-1.0306e-001	7.6254e-002	3.9758e-002	7.3713e-002	-9.2791e-002
1.100000e+002	5.5855e-002	9.3726e-002	-1.0012e-001	-5.1546e-002	4.7359e-002	-8.5326e-002	-1.0637e-001	1.0630e-001	8.4973e-002	-4.6269e-002	2.8446e-003	-5.2008e-002	5.5098e-002	9.2544e-002	-9.4206e-002
1.200000e+002	6.9382e-002	1.0243e-001	-8.0352e-002	-2.9091e-003	6.4802e-002	-1.0426e-001	-1.0295e-001	6.1348e-002	-4.3532e-003	6.8367e-002	1.0456e-001	-8.5898e-002	6.8889e-002	1.0121e-001	-7.3534e-002
1.300000e+002	8.0998e-002	9.9902e-002	-4.1123e-002	4.6893e-002	7.9986e-002	-1.0879e-001	-6.7985e-002	-1.6338e-002	-9.0147e-002	1.0578e-001	5.2167e-002	3.6080e-002	8.0744e-002	9.8755e-002	-3.5621e-002
1.400000e+002	9.0382e-002	8.6428e-002	8.0640e-003	7.7923e-002	9.2383e-002	-9.8287e-002	-1.2182e-002	-8.5307e-002	-1.0278e-001	2.3706e-002	-7.7111e-002	9.2588e-002	9.0328e-002	8.5452e-002	1.0643e-002
1.500000e+002	9.7276e-002	6.3483e-002	5.5299e-002	7.7760e-002	1.0156e-001	-7.4197e-002	4.7354e-002	-1.0875e-001	-3.2008e-002	-8.5144e-002	-9.2737e-002	-1.8912e-002	9.7372e-002	6.2761e-002	5.4411e-002
