Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12
2.000000e+001	3.5829e-024	-7.2310e-024	9.2008e-024	-1.0594e-023	1.1708e-023	-1.2651e-023	1.3477e-023	-1.4217e-023	1.4890e-023	-1.5539e-023	1.6514e-023	-1.8694e-023
3.000000e+001	2.0780e-023	-3.8653e-023	4.7457e-023	-5.3442e-023	5.8109e-023	-6.1996e-023	6.5358e-023	-6.8335e-023	7.1019e-023	-7.3604e-023	7.7733e-023	-8.7439e-023
4.000000e+001	1.5190e-022	-2.6443e-022	3.1543e-022	-3.4891e-022	3.7449e-022	-3.9550e-022	4.1346e-022	-4.2923e-022	4.4334e-022	-4.5696e-022	4.8018e-022	-5.3743e-022
5.000000e+001	1.2100e-021	-1.9837e-021	2.3058e-021	-2.5099e-021	2.6629e-021	-2.7869e-021	2.8918e-021	-2.9831e-021	3.0643e-021	-3.1431e-021	3.2882e-021	-3.6639e-021
6.000000e+001	1.0325e-020	-1.6010e-020	1.8170e-020	-1.9488e-020	2.0456e-020	-2.1230e-020	2.1878e-020	-2.2438e-020	2.2932e-020	-2.3417e-020	2.4398e-020	-2.7075e-020
7.000000e+001	9.3279e-020	-1.3726e-019	1.5231e-019	-1.6111e-019	1.6742e-019	-1.7241e-019	1.7654e-019	-1.8007e-019	1.8317e-019	-1.8626e-019	1.9333e-019	-2.1372e-019
8.000000e+001	8.8324e-019	-1.2365e-018	1.3431e-018	-1.4021e-018	1.4433e-018	-1.4753e-018	1.5015e-018	-1.5237e-018	1.5430e-018	-1.5629e-018	1.6163e-018	-1.7804e-018
9.000000e+001	8.6884e-018	-1.1595e-017	1.2340e-017	-1.2720e-017	1.2976e-017	-1.3170e-017	1.3326e-017	-1.3456e-017	1.3569e-017	-1.3692e-017	1.4111e-017	-1.5490e-017
1.000000e+002	8.8090e-017	-1.1223e-016	1.1710e-016	-1.1925e-016	1.2058e-016	-1.2155e-016	1.2230e-016	-1.2291e-016	1.2343e-016	-1.2409e-016	1.2747e-016	-1.3946e-016
1.100000e+002	9.1382e-016	-1.1127e-015	1.1388e-015	-1.1460e-015	1.1489e-015	-1.1504e-015	1.1512e-015	-1.1516e-015	1.1518e-015	-1.1539e-015	1.1815e-015	-1.2885e-015
1.200000e+002	9.6329e-015	-1.1219e-014	1.1266e-014	-1.1206e-014	1.1141e-014	-1.1082e-014	1.1030e-014	-1.0984e-014	1.0942e-014	-1.0924e-014	1.1150e-014	-1.2121e-014
1.300000e+002	1.0251e-013	-1.1424e-013	1.1259e-013	-1.1070e-013	1.0914e-013	-1.0786e-013	1.0679e-013	-1.0587e-013	1.0505e-013	-1.0452e-013	1.0634e-013	-1.1524e-013
1.400000e+002	1.0941e-012	-1.1669e-012	1.1287e-012	-1.0970e-012	1.0727e-012	-1.0533e-012	1.0373e-012	-1.0237e-012	1.0119e-012	-1.0033e-012	1.0177e-012	-1.0993e-012
1.500000e+002	1.1637e-011	-1.1877e-011	1.1274e-011	-1.0832e-011	1.0504e-011	-1.0247e-011	1.0038e-011	-9.8622e-012	9.7106e-012	-9.5947e-012	9.7011e-012	-1.0447e-011
1.600000e+002	1.2254e-010	-1.1962e-010	1.1142e-010	-1.0580e-010	1.0174e-010	-9.8606e-011	9.6076e-011	-9.3962e-011	9.2153e-011	-9.0736e-011	9.1452e-011	-9.8168e-011
1.700000e+002	1.2689e-009	-1.1838e-009	1.0815e-009	-1.0149e-009	9.6756e-010	-9.3152e-010	9.0266e-010	-8.7871e-010	8.5833e-010	-8.4213e-010	8.4603e-010	-9.0522e-010
1.800000e+002	1.2828e-008	-1.1424e-008	1.0232e-008	-9.4848e-009	8.9636e-009	-8.5707e-009	8.2585e-009	-8.0012e-009	7.7833e-009	-7.6086e-009	7.6184e-009	-8.1243e-009
1.900000e+002	1.2561e-007	-1.0662e-007	9.3557e-008	-8.5637e-008	8.0197e-008	-7.6139e-008	7.2939e-008	-7.0317e-008	6.8110e-008	-6.6330e-008	6.6186e-008	-7.0338e-008
2.000000e+002	1.1813e-006	-9.5374e-007	8.1912e-007	-7.3992e-007	6.8635e-007	-6.4678e-007	6.1583e-007	-5.9063e-007	5.6953e-007	-5.5244e-007	5.4925e-007	-5.8160e-007
2.100000e+002	1.0566e-005	-8.0917e-006	6.7940e-006	-6.0519e-006	5.5575e-006	-5.1960e-006	4.9154e-006	-4.6885e-006	4.4995e-006	-4.3462e-006	4.3046e-006	-4.5406e-006
2.200000e+002	8.8865e-005	-6.4332e-005	5.2722e-005	-4.6266e-005	4.2029e-005	-3.8965e-005	3.6606e-005	-3.4711e-005	3.3142e-005	-3.1868e-005	3.1433e-005	-3.3020e-005
2.300000e+002	6.9347e-004	-4.7235e-004	3.7706e-004	-3.2554e-004	2.9227e-004	-2.6847e-004	2.5031e-004	-2.3584e-004	2.2392e-004	-2.1426e-004	2.1038e-004	-2.2000e-004
2.400000e+002	4.9386e-003	-3.1455e-003	2.4388e-003	-2.0679e-003	1.8324e-003	-1.6660e-003	1.5403e-003	-1.4408e-003	1.3595e-003	-1.2937e-003	1.2639e-003	-1.3150e-003
2.500000e+002	3.1426e-002	-1.8555e-002	1.3919e-002	-1.1561e-002	1.0092e-002	-9.0686e-003	8.3036e-003	-7.7037e-003	7.2172e-003	-6.8241e-003	6.6284e-003	-6.8566e-003
2.600000e+002	1.7367e-001	-9.3883e-002	6.7735e-002	-5.4904e-002	4.7085e-002	-4.1722e-002	3.7764e-002	-3.4692e-002	3.2224e-002	-3.0237e-002	2.9166e-002	-2.9959e-002
2.700000e+002	1.8672e-001	-5.6713e-002	2.7685e-002	-1.5924e-002	9.6680e-003	-5.8260e-003	3.2498e-003	-1.4173e-003	5.7690e-005	9.8625e-004	-1.8631e-003	2.8490e-003
2.800000e+002	1.4320e-001	2.3407e-002	-3.8522e-002	3.9911e-002	-3.8765e-002	3.7073e-002	-3.5336e-002	3.3695e-002	-3.2185e-002	3.0862e-002	-3.0292e-002	3.1597e-002
2.900000e+002	9.4114e-002	9.1981e-002	-7.8504e-002	6.4041e-002	-5.3266e-002	4.5198e-002	-3.8973e-002	3.4031e-002	-3.0015e-002	2.6731e-002	-2.4442e-002	2.3654e-002
3.000000e+002	5.6456e-002	1.2993e-001	-7.7630e-002	4.7566e-002	-2.9683e-002	1.8175e-002	-1.0313e-002	4.7017e-003	-5.6470e-004	-2.5699e-003	5.1471e-003	-7.9635e-003
3.100000e+002	3.1821e-002	1.3882e-001	-4.4835e-002	6.1277e-003	1.1880e-002	-2.0997e-002	2.5768e-002	-2.8213e-002	2.9337e-002	-2.9732e-002	3.0300e-002	-3.2480e-002
3.200000e+002	1.7128e-002	1.2801e-001	2.7289e-003	-3.8025e-002	4.7219e-002	-4.7852e-002	4.5417e-002	-4.1923e-002	3.8179e-002	-3.4579e-002	3.1812e-002	-3.0693e-002
