V	C (Fcm-2)	Initcharge (cm-2)	Finalcharge (cm-2)	ns Total (cm-2)	ps Total (cm-2)
-3.000e+000	2.6559e-007	-5.1432e+011	-4.9775e+011	4.9771e+011	5.2500e-015
-2.990e+000	2.6693e-007	-5.3098e+011	-5.1432e+011	5.1428e+011	5.2500e-015
-2.980e+000	2.6820e-007	-5.4772e+011	-5.3098e+011	5.3094e+011	5.2500e-015
-2.970e+000	2.6941e-007	-5.6454e+011	-5.4772e+011	5.4768e+011	5.2500e-015
-2.960e+000	2.7055e-007	-5.8143e+011	-5.6454e+011	5.6450e+011	5.2500e-015
-2.950e+000	2.7163e-007	-5.9838e+011	-5.8143e+011	5.8139e+011	5.2500e-015
-2.940e+000	2.7268e-007	-6.1540e+011	-5.9838e+011	5.9834e+011	5.2500e-015
-2.930e+000	2.7366e-007	-6.3248e+011	-6.1540e+011	6.1536e+011	5.2500e-015
-2.920e+000	2.7461e-007	-6.4962e+011	-6.3248e+011	6.3244e+011	5.2500e-015
-2.910e+000	2.7550e-007	-6.6681e+011	-6.4962e+011	6.4958e+011	5.2500e-015
-2.900e+000	2.7636e-007	-6.8406e+011	-6.6681e+011	6.6677e+011	5.2500e-015
-2.890e+000	2.7718e-007	-7.0136e+011	-6.8406e+011	6.8402e+011	5.2500e-015
-2.880e+000	2.7796e-007	-7.1871e+011	-7.0136e+011	7.0132e+011	5.2500e-015
-2.870e+000	2.7870e-007	-7.3611e+011	-7.1871e+011	7.1867e+011	5.2500e-015
-2.860e+000	2.7942e-007	-7.5355e+011	-7.3611e+011	7.3607e+011	5.2500e-015
-2.850e+000	2.8010e-007	-7.7103e+011	-7.5355e+011	7.5351e+011	5.2500e-015
-2.840e+000	2.8076e-007	-7.8855e+011	-7.7103e+011	7.7099e+011	5.2500e-015
-2.830e+000	2.8139e-007	-8.0612e+011	-7.8855e+011	7.8851e+011	5.2500e-015
-2.820e+000	2.8199e-007	-8.2372e+011	-8.0612e+011	8.0608e+011	5.2500e-015
-2.810e+000	2.8257e-007	-8.4135e+011	-8.2372e+011	8.2368e+011	5.2500e-015
-2.800e+000	2.8313e-007	-8.5903e+011	-8.4135e+011	8.4131e+011	5.2500e-015
-2.790e+000	2.8367e-007	-8.7673e+011	-8.5903e+011	8.5899e+011	5.2500e-015
-2.780e+000	2.8418e-007	-8.9447e+011	-8.7673e+011	8.7669e+011	5.2500e-015
-2.770e+000	2.8467e-007	-9.1224e+011	-8.9447e+011	8.9443e+011	5.2500e-015
-2.760e+000	2.8515e-007	-9.3003e+011	-9.1224e+011	9.1220e+011	5.2500e-015
-2.750e+000	2.8561e-007	-9.4786e+011	-9.3003e+011	9.2999e+011	5.2500e-015
-2.740e+000	2.8605e-007	-9.6571e+011	-9.4786e+011	9.4782e+011	5.2500e-015
-2.730e+000	2.8648e-007	-9.8359e+011	-9.6571e+011	9.6567e+011	5.2500e-015
-2.720e+000	2.8689e-007	-1.0015e+012	-9.8359e+011	9.8355e+011	5.2500e-015
-2.710e+000	2.8729e-007	-1.0194e+012	-1.0015e+012	1.0015e+012	5.2500e-015
-2.700e+000	2.8767e-007	-1.0374e+012	-1.0194e+012	1.0194e+012	5.2500e-015
-2.690e+000	2.8804e-007	-1.0554e+012	-1.0374e+012	1.0373e+012	5.2500e-015
-2.680e+000	2.8840e-007	-1.0734e+012	-1.0554e+012	1.0553e+012	5.2500e-015
-2.670e+000	2.8875e-007	-1.0914e+012	-1.0734e+012	1.0733e+012	5.2500e-015
-2.660e+000	2.8908e-007	-1.1094e+012	-1.0914e+012	1.0913e+012	5.2500e-015
-2.650e+000	2.8941e-007	-1.1275e+012	-1.1094e+012	1.1094e+012	5.2500e-015
-2.640e+000	2.8972e-007	-1.1456e+012	-1.1275e+012	1.1275e+012	5.2500e-015
-2.630e+000	2.9002e-007	-1.1637e+012	-1.1456e+012	1.1455e+012	5.2500e-015
-2.620e+000	2.9032e-007	-1.1818e+012	-1.1637e+012	1.1636e+012	5.2500e-015
-2.610e+000	2.9061e-007	-1.1999e+012	-1.1818e+012	1.1818e+012	5.2500e-015
-2.600e+000	2.9088e-007	-1.2181e+012	-1.1999e+012	1.1999e+012	5.2500e-015
-2.590e+000	2.9115e-007	-1.2363e+012	-1.2181e+012	1.2181e+012	5.2500e-015
-2.580e+000	2.9141e-007	-1.2545e+012	-1.2363e+012	1.2362e+012	5.2500e-015
-2.570e+000	2.9167e-007	-1.2727e+012	-1.2545e+012	1.2544e+012	5.2500e-015
-2.560e+000	2.9191e-007	-1.2909e+012	-1.2727e+012	1.2726e+012	5.2500e-015
