Y (ang)	Ec (eV)	Ev (eV)	E (V/cm)	Ef (eV)	n (cm-3)	p (cm-3)	Nd - Na (cm-3)
0.000000e+000	-5.40000000e+000	-8.80000000e+000	3.36316033e+007	-6.00000000e+000	1.8691e+008	1.0000e-010	0.0000e+000
1.000000e+001	-2.03683967e+000	-5.43683967e+000	1.11318516e+007	0.00000000e+000	1.1812e+021	1.0000e-010	0.0000e+000
2.000000e+001	-8.96774506e-001	-4.33037451e+000	4.43851690e+006	0.00000000e+000	3.4539e+020	1.0000e-010	-6.3085e+018
3.000000e+001	-4.26042816e-001	-3.89324282e+000	2.15529659e+006	0.00000000e+000	1.1352e+020	1.0000e-010	-6.3427e+018
4.000000e+001	-1.83633157e-001	-3.68443316e+000	1.40909407e+006	0.00000000e+000	3.2793e+019	1.0000e-010	-6.3768e+018
5.000000e+001	-1.58437499e-002	-3.55024375e+000	1.23615373e+006	0.00000000e+000	2.7160e+018	1.0000e-010	-6.4110e+018
6.000000e+001	1.34651623e-001	-3.43334838e+000	1.11394569e+006	0.00000000e+000	1.2278e+016	1.0000e-010	-6.4451e+018
7.000000e+001	2.72926193e-001	-3.32867381e+000	9.91005590e+005	0.00000000e+000	5.8376e+013	1.0000e-010	-6.4793e+018
8.000000e+001	3.98906752e-001	-3.23629325e+000	8.67096901e+005	0.00000000e+000	4.4653e+011	1.0000e-010	-6.5134e+018
9.000000e+001	5.12496442e-001	-3.15630356e+000	7.42214811e+005	0.00000000e+000	5.5160e+009	1.0000e-010	-6.5476e+018
1.000000e+002	6.13597923e-001	-3.08880208e+000	6.16355581e+005	0.00000000e+000	1.1046e+008	1.0000e-010	-6.5817e+018
1.100000e+002	7.02113481e-001	-3.03388652e+000	4.89515461e+005	0.00000000e+000	3.5991e+006	1.0000e-010	-6.6159e+018
1.200000e+002	7.77945027e-001	-2.99165497e+000	3.61690681e+005	0.00000000e+000	1.9155e+005	1.0000e-010	-6.6500e+018
1.300000e+002	8.40994095e-001	-2.96220590e+000	2.32877451e+005	0.00000000e+000	1.6715e+004	1.0000e-010	-6.6842e+018
1.400000e+002	8.91161840e-001	-2.94563816e+000	1.03071965e+005	0.00000000e+000	2.4006e+003	1.0000e-010	-6.7183e+018
1.500000e+002	9.28349037e-001	-2.94205096e+000	-2.77296060e+004	0.00000000e+000	5.6965e+002	1.0000e-010	-6.7525e+018
1.600000e+002	9.52456076e-001	-2.95154392e+000	-1.59531109e+005	0.00000000e+000	2.2420e+002	1.0000e-010	-6.7867e+018
1.700000e+002	9.63382965e-001	-2.97421703e+000	-2.92336413e+005	0.00000000e+000	1.4691e+002	1.0000e-010	-6.8208e+018
1.800000e+002	9.61029324e-001	-3.01017068e+000	-4.26149403e+005	0.00000000e+000	1.6092e+002	1.0000e-010	-6.8550e+018
1.900000e+002	9.45294384e-001	-3.05950562e+000	-5.60973988e+005	0.00000000e+000	2.9576e+002	1.0000e-010	-6.8891e+018
2.000000e+002	9.16076985e-001	-3.12232302e+000	-6.96814095e+005	0.00000000e+000	9.1573e+002	1.0000e-010	-6.9233e+018
2.100000e+002	8.73275575e-001	-3.19872442e+000	-8.33673672e+005	0.00000000e+000	4.7951e+003	1.0000e-010	-6.9574e+018
2.200000e+002	8.16788208e-001	-3.28881179e+000	-9.71556688e+005	0.00000000e+000	4.2633e+004	1.0000e-010	-6.9916e+018
2.300000e+002	7.46512539e-001	-3.39268746e+000	-1.11046713e+006	0.00000000e+000	6.4614e+005	1.0000e-010	-7.0257e+018
2.400000e+002	6.62345826e-001	-3.51045417e+000	-1.25040901e+006	0.00000000e+000	1.6760e+007	1.0000e-010	-7.0599e+018
2.500000e+002	5.64184925e-001	-3.64221508e+000	-1.39138636e+006	0.00000000e+000	7.4696e+008	1.0000e-010	-7.0940e+018
2.600000e+002	-2.20073711e-001	-3.62007371e+000	9.00970023e+005	0.00000000e+000	4.2696e+019	1.0000e-010	1.6083e+020
2.700000e+002	-1.29976709e-001	-3.52997671e+000	5.23156777e+005	0.00000000e+000	1.9835e+019	1.0000e-010	0.0000e+000
2.800000e+002	-7.76610314e-002	-3.47766103e+000	3.32874395e+005	0.00000000e+000	9.9899e+018	1.0000e-010	0.0000e+000
2.900000e+002	-4.43735918e-002	-3.44437359e+000	2.29703279e+005	0.00000000e+000	5.4165e+018	1.0000e-010	0.0000e+000
3.000000e+002	-2.14032639e-002	-3.42140326e+000	1.69711230e+005	0.00000000e+000	3.1496e+018	1.0000e-010	0.0000e+000
3.100000e+002	-4.43214085e-003	-3.40443214e+000	1.32322817e+005	0.00000000e+000	1.9629e+018	1.0000e-010	0.0000e+000
3.200000e+002	8.80014082e-003	-3.39119986e+000	1.07493656e+005	0.00000000e+000	1.3035e+018	1.0000e-010	0.0000e+000
3.300000e+002	1.95495064e-002	-3.38045049e+000	9.00862066e+004	0.00000000e+000	9.1389e+017	1.0000e-010	0.0000e+000
3.400000e+002	2.85581270e-002	-3.37144187e+000	7.73245748e+004	0.00000000e+000	6.6999e+017	1.0000e-010	0.0000e+000
3.500000e+002	3.62905845e-002	-3.36370942e+000	6.76221348e+004	0.00000000e+000	5.0938e+017	1.0000e-010	0.0000e+000
3.600000e+002	4.30527980e-002	-3.35694720e+000	6.00230978e+004	0.00000000e+000	3.9895e+017	1.0000e-010	0.0000e+000
3.700000e+002	4.90551078e-002	-3.35094489e+000	5.39241169e+004	0.00000000e+000	3.2020e+017	1.0000e-010	0.0000e+000
3.800000e+002	5.44475195e-002	-3.34555248e+000	4.89284732e+004	0.00000000e+000	2.6227e+017	1.0000e-010	0.0000e+000
3.900000e+002	5.93403668e-002	-3.34065963e+000	4.47659448e+004	0.00000000e+000	2.1853e+017	1.0000e-010	0.0000e+000
4.000000e+002	6.38169613e-002	-3.33618304e+000	4.12467685e+004	0.00000000e+000	1.8476e+017	1.0000e-010	0.0000e+000
4.100000e+002	6.79416381e-002	-3.33205836e+000	3.82341073e+004	0.00000000e+000	1.5817e+017	1.0000e-010	0.0000e+000
4.200000e+002	7.17650488e-002	-3.32823495e+000	3.56269840e+004	0.00000000e+000	1.3687e+017	1.0000e-010	0.0000e+000
4.300000e+002	7.53277472e-002	-3.32467225e+000	3.33493586e+004	0.00000000e+000	1.1958e+017	1.0000e-010	0.0000e+000
4.400000e+002	7.86626831e-002	-3.32133732e+000	3.13429379e+004	0.00000000e+000	1.0534e+017	1.0000e-010	0.0000e+000
4.500000e+002	8.17969769e-002	-3.31820302e+000	2.95623193e+004	0.00000000e+000	9.3483e+016	1.0000e-010	0.0000e+000
4.600000e+002	8.47532088e-002	-3.31524679e+000	2.79716363e+004	0.00000000e+000	8.3511e+016	1.0000e-010	0.0000e+000
4.700000e+002	8.75503724e-002	-3.31244963e+000	2.65421942e+004	0.00000000e+000	7.5046e+016	1.0000e-010	0.0000e+000
4.800000e+002	9.02045919e-002	-3.30979541e+000	2.52507718e+004	0.00000000e+000	6.7800e+016	1.0000e-010	0.0000e+000
4.900000e+002	9.27296690e-002	-3.30727033e+000	2.40783820e+004	0.00000000e+000	6.1551e+016	1.0000e-010	0.0000e+000
5.000000e+002	9.51375072e-002	-3.30486249e+000	2.30093528e+004	0.00000000e+000	5.6124e+016	1.0000e-010	0.0000e+000
5.100000e+002	9.74384425e-002	-3.30256156e+000	2.20306370e+004	0.00000000e+000	5.1383e+016	1.0000e-010	0.0000e+000
5.200000e+002	9.96415062e-002	-3.30035849e+000	2.11312867e+004	0.00000000e+000	4.7216e+016	1.0000e-010	0.0000e+000
5.300000e+002	1.01754635e-001	-3.29824537e+000	2.03020488e+004	0.00000000e+000	4.3535e+016	1.0000e-010	0.0000e+000
5.400000e+002	1.03784840e-001	-3.29621516e+000	1.95302199e+004	0.00000000e+000	4.0521e+016	1.0000e-010	0.0000e+000
5.500000e+002	1.05737862e-001	-3.29426214e+000	1.88145517e+004	0.00000000e+000	3.7573e+016	1.0000e-010	0.0000e+000
5.600000e+002	1.07619317e-001	-3.29238068e+000	1.81491182e+004	0.00000000e+000	3.4935e+016	1.0000e-010	0.0000e+000
5.700000e+002	1.09434229e-001	-3.29056577e+000	1.75287987e+004	0.00000000e+000	3.2567e+016	1.0000e-010	0.0000e+000
5.800000e+002	1.11187109e-001	-3.28881289e+000	1.69491453e+004	0.00000000e+000	3.0432e+016	1.0000e-010	0.0000e+000
5.900000e+002	1.12882023e-001	-3.28711798e+000	1.64062763e+004	0.00000000e+000	2.8501e+016	1.0000e-010	0.0000e+000
6.000000e+002	1.14522651e-001	-3.28547735e+000	1.58967886e+004	0.00000000e+000	2.6748e+016	1.0000e-010	0.0000e+000
6.100000e+002	1.16112330e-001	-3.28388767e+000	1.54176863e+004	0.00000000e+000	2.5153e+016	1.0000e-010	0.0000e+000
6.200000e+002	1.17654098e-001	-3.28234590e+000	1.49663215e+004	0.00000000e+000	2.3697e+016	1.0000e-010	0.0000e+000
6.300000e+002	1.19150730e-001	-3.28084927e+000	1.45403452e+004	0.00000000e+000	2.2364e+016	1.0000e-010	0.0000e+000
6.400000e+002	1.20604765e-001	-3.27939524e+000	1.41376665e+004	0.00000000e+000	2.1141e+016	1.0000e-010	0.0000e+000
6.500000e+002	1.22018532e-001	-3.27798147e+000	1.37564178e+004	0.00000000e+000	2.0016e+016	1.0000e-010	0.0000e+000
6.600000e+002	1.23394173e-001	-3.27660583e+000	1.33949259e+004	0.00000000e+000	1.8978e+016	1.0000e-010	0.0000e+000
6.700000e+002	1.24733666e-001	-3.27526633e+000	1.30516872e+004	0.00000000e+000	1.8020e+016	1.0000e-010	0.0000e+000
6.800000e+002	1.26038835e-001	-3.27396117e+000	1.27253473e+004	0.00000000e+000	1.7133e+016	1.0000e-010	0.0000e+000
6.900000e+002	1.27311369e-001	-3.27268863e+000	1.24146821e+004	0.00000000e+000	1.6310e+016	1.0000e-010	0.0000e+000
7.000000e+002	1.28552838e-001	-3.27144716e+000	1.21185831e+004	0.00000000e+000	1.5545e+016	1.0000e-010	0.0000e+000
7.100000e+002	1.29764696e-001	-3.27023530e+000	1.18360441e+004	0.00000000e+000	1.4833e+016	1.0000e-010	0.0000e+000
7.200000e+002	1.30948300e-001	-3.26905170e+000	1.15661491e+004	0.00000000e+000	1.4170e+016	1.0000e-010	0.0000e+000
7.300000e+002	1.32104915e-001	-3.26789508e+000	1.13080630e+004	0.00000000e+000	1.3550e+016	1.0000e-010	0.0000e+000
7.400000e+002	1.33235722e-001	-3.26676428e+000	1.10610227e+004	0.00000000e+000	1.2970e+016	1.0000e-010	0.0000e+000
7.500000e+002	1.34341824e-001	-3.26565818e+000	1.08243293e+004	0.00000000e+000	1.2426e+016	1.0000e-010	0.0000e+000
7.600000e+002	1.35424257e-001	-3.26457574e+000	1.05973417e+004	0.00000000e+000	1.1917e+016	1.0000e-010	0.0000e+000
7.700000e+002	1.36483991e-001	-3.26351601e+000	1.03794708e+004	0.00000000e+000	1.1438e+016	1.0000e-010	0.0000e+000
7.800000e+002	1.37521938e-001	-3.26247806e+000	1.01701740e+004	0.00000000e+000	1.0988e+016	1.0000e-010	0.0000e+000
7.900000e+002	1.38538955e-001	-3.26146104e+000	9.96895114e+003	0.00000000e+000	1.0564e+016	1.0000e-010	0.0000e+000
8.000000e+002	1.39535851e-001	-3.26046415e+000	9.77534002e+003	0.00000000e+000	1.0165e+016	1.0000e-010	0.0000e+000
8.100000e+002	1.40513385e-001	-3.25948662e+000	9.58891318e+003	0.00000000e+000	9.7874e+015	1.0000e-010	0.0000e+000
8.200000e+002	1.41472276e-001	-3.25852772e+000	9.40927454e+003	0.00000000e+000	9.4311e+015	1.0000e-010	0.0000e+000
8.300000e+002	1.42413203e-001	-3.25758680e+000	9.23605660e+003	0.00000000e+000	9.0940e+015	1.0000e-010	0.0000e+000
8.400000e+002	1.43336809e-001	-3.25666319e+000	9.06891792e+003	0.00000000e+000	8.7748e+015	1.0000e-010	0.0000e+000
8.500000e+002	1.44243701e-001	-3.25575630e+000	8.90754084e+003	0.00000000e+000	8.4723e+015	1.0000e-010	0.0000e+000
8.600000e+002	1.45134455e-001	-3.25486555e+000	8.75162945e+003	0.00000000e+000	8.1854e+015	1.0000e-010	0.0000e+000
8.700000e+002	1.46009618e-001	-3.25399038e+000	8.60090777e+003	0.00000000e+000	7.9129e+015	1.0000e-010	0.0000e+000
8.800000e+002	1.46869709e-001	-3.25313029e+000	8.45511807e+003	0.00000000e+000	7.6540e+015	1.0000e-010	0.0000e+000
8.900000e+002	1.47715220e-001	-3.25228478e+000	8.31401941e+003	0.00000000e+000	7.4077e+015	1.0000e-010	0.0000e+000
9.000000e+002	1.48546622e-001	-3.25145338e+000	8.17738631e+003	0.00000000e+000	7.1733e+015	1.0000e-010	0.0000e+000
9.100000e+002	1.49364361e-001	-3.25063564e+000	8.04500749e+003	0.00000000e+000	6.9499e+015	1.0000e-010	0.0000e+000
9.200000e+002	1.50168862e-001	-3.24983114e+000	7.91668479e+003	0.00000000e+000	6.7370e+015	1.0000e-010	0.0000e+000
9.300000e+002	1.50960530e-001	-3.24903947e+000	7.79223217e+003	0.00000000e+000	6.5338e+015	1.0000e-010	0.0000e+000
9.400000e+002	1.51739753e-001	-3.24826025e+000	7.67147479e+003	0.00000000e+000	6.3398e+015	1.0000e-010	0.0000e+000
9.500000e+002	1.52506901e-001	-3.24749310e+000	7.55424820e+003	0.00000000e+000	6.1544e+015	1.0000e-010	0.0000e+000
9.600000e+002	1.53262326e-001	-3.24673767e+000	7.44039753e+003	0.00000000e+000	5.9772e+015	1.0000e-010	0.0000e+000
9.700000e+002	1.54006365e-001	-3.24599363e+000	7.32977687e+003	0.00000000e+000	5.8076e+015	1.0000e-010	0.0000e+000
9.800000e+002	1.54739343e-001	-3.24526066e+000	7.22224858e+003	0.00000000e+000	5.6453e+015	1.0000e-010	0.0000e+000
9.900000e+002	1.55461568e-001	-3.24453843e+000	7.11768272e+003	0.00000000e+000	5.4897e+015	1.0000e-010	0.0000e+000
1.000000e+003	1.56173336e-001	-3.24382666e+000	7.01595654e+003	0.00000000e+000	5.3406e+015	1.0000e-010	0.0000e+000
1.010000e+003	1.56874932e-001	-3.24312507e+000	6.91695398e+003	0.00000000e+000	5.1977e+015	1.0000e-010	0.0000e+000
1.020000e+003	1.57566627e-001	-3.24243337e+000	6.82056521e+003	0.00000000e+000	5.0604e+015	1.0000e-010	0.0000e+000
1.030000e+003	1.58248684e-001	-3.24175132e+000	6.72668622e+003	0.00000000e+000	4.9287e+015	1.0000e-010	0.0000e+000
1.040000e+003	1.58921352e-001	-3.24107865e+000	6.63521845e+003	0.00000000e+000	4.8021e+015	1.0000e-010	0.0000e+000
1.050000e+003	1.59584874e-001	-3.24041513e+000	6.54606845e+003	0.00000000e+000	4.6804e+015	1.0000e-010	0.0000e+000
