Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12
2.000000e+001	3.5316e-022	-2.5722e-021	4.7694e-021	-6.5888e-021	8.1991e-021	-9.6778e-021	1.1064e-020	-1.2380e-020	1.3639e-020	-1.4858e-020	1.6176e-020	-1.8380e-020
3.000000e+001	3.3987e-021	-2.2825e-020	4.1051e-020	-5.5772e-020	6.8621e-020	-8.0306e-020	9.1179e-020	-1.0144e-019	1.1121e-019	-1.2063e-019	1.3082e-019	-1.4811e-019
4.000000e+001	3.4899e-020	-2.1705e-019	3.7929e-019	-5.0725e-019	6.1748e-019	-7.1683e-019	8.0862e-019	-8.9477e-019	9.7644e-019	-1.0548e-018	1.1398e-018	-1.2860e-018
5.000000e+001	3.4981e-019	-2.0111e-018	3.4121e-018	-4.4902e-018	5.4064e-018	-6.2244e-018	6.9750e-018	-7.6754e-018	8.3362e-018	-8.9679e-018	9.6545e-018	-1.0854e-017
6.000000e+001	3.4176e-018	-1.8123e-017	2.9828e-017	-3.8605e-017	4.5960e-017	-5.2464e-017	5.8389e-017	-6.3886e-017	6.9046e-017	-7.3960e-017	7.9317e-017	-8.8848e-017
7.000000e+001	3.2522e-017	-1.5871e-016	2.5316e-016	-3.2208e-016	3.7900e-016	-4.2884e-016	4.7391e-016	-5.1547e-016	5.5429e-016	-5.9110e-016	6.3140e-016	-7.0462e-016
8.000000e+001	3.0121e-016	-1.3494e-015	2.0841e-015	-2.6050e-015	3.0287e-015	-3.3960e-015	3.7255e-015	-4.0276e-015	4.3082e-015	-4.5733e-015	4.8651e-015	-5.4082e-015
9.000000e+001	2.7132e-015	-1.1130e-014	1.6626e-014	-2.0405e-014	2.3430e-014	-2.6025e-014	2.8336e-014	-3.0441e-014	3.2386e-014	-3.4215e-014	3.6244e-014	-4.0127e-014
1.000000e+002	2.3749e-014	-8.8959e-014	1.2839e-013	-1.5462e-013	1.7527e-013	-1.9280e-013	2.0828e-013	-2.2229e-013	2.3517e-013	-2.4723e-013	2.6074e-013	-2.8747e-013
1.100000e+002	2.0184e-013	-6.8833e-013	9.5865e-013	-1.1321e-012	1.2663e-012	-1.3789e-012	1.4776e-012	-1.5663e-012	1.6474e-012	-1.7231e-012	1.8090e-012	-1.9858e-012
