V	C (Fcm-2)	Initcharge (cm-2)	Finalcharge (cm-2)	ns Total (cm-2)	ps Total (cm-2)
-3.000e+000	3.0213e-007	-8.7017e+012	-8.6829e+012	8.6828e+012	5.2500e-015
-2.990e+000	3.0214e-007	-8.7206e+012	-8.7017e+012	8.7017e+012	5.2500e-015
-2.980e+000	3.0215e-007	-8.7394e+012	-8.7206e+012	8.7205e+012	5.2500e-015
-2.970e+000	3.0216e-007	-8.7583e+012	-8.7394e+012	8.7394e+012	5.2500e-015
-2.960e+000	3.0216e-007	-8.7772e+012	-8.7583e+012	8.7583e+012	5.2500e-015
-2.950e+000	3.0217e-007	-8.7960e+012	-8.7772e+012	8.7771e+012	5.2500e-015
-2.940e+000	3.0218e-007	-8.8149e+012	-8.7960e+012	8.7960e+012	5.2500e-015
-2.930e+000	3.0219e-007	-8.8337e+012	-8.8149e+012	8.8148e+012	5.2500e-015
-2.920e+000	3.0219e-007	-8.8526e+012	-8.8337e+012	8.8337e+012	5.2500e-015
-2.910e+000	3.0220e-007	-8.8715e+012	-8.8526e+012	8.8526e+012	5.2500e-015
-2.900e+000	3.0221e-007	-8.8903e+012	-8.8715e+012	8.8714e+012	5.2500e-015
-2.890e+000	3.0221e-007	-8.9092e+012	-8.8903e+012	8.8903e+012	5.2500e-015
-2.880e+000	3.0222e-007	-8.9280e+012	-8.9092e+012	8.9091e+012	5.2500e-015
-2.870e+000	3.0223e-007	-8.9469e+012	-8.9280e+012	8.9280e+012	5.2500e-015
-2.860e+000	3.0224e-007	-8.9658e+012	-8.9469e+012	8.9469e+012	5.2500e-015
-2.850e+000	3.0224e-007	-8.9846e+012	-8.9658e+012	8.9657e+012	5.2500e-015
-2.840e+000	3.0225e-007	-9.0035e+012	-8.9846e+012	8.9846e+012	5.2500e-015
-2.830e+000	3.0226e-007	-9.0224e+012	-9.0035e+012	9.0035e+012	5.2500e-015
-2.820e+000	3.0226e-007	-9.0412e+012	-9.0224e+012	9.0223e+012	5.2500e-015
-2.810e+000	3.0227e-007	-9.0601e+012	-9.0412e+012	9.0412e+012	5.2500e-015
-2.800e+000	3.0228e-007	-9.0790e+012	-9.0601e+012	9.0601e+012	5.2500e-015
-2.790e+000	3.0229e-007	-9.0978e+012	-9.0790e+012	9.0789e+012	5.2500e-015
-2.780e+000	3.0229e-007	-9.1167e+012	-9.0978e+012	9.0978e+012	5.2500e-015
-2.770e+000	3.0230e-007	-9.1356e+012	-9.1167e+012	9.1167e+012	5.2500e-015
-2.760e+000	3.0231e-007	-9.1544e+012	-9.1356e+012	9.1355e+012	5.2500e-015
-2.750e+000	3.0231e-007	-9.1733e+012	-9.1544e+012	9.1544e+012	5.2500e-015
-2.740e+000	3.0232e-007	-9.1922e+012	-9.1733e+012	9.1733e+012	5.2500e-015
-2.730e+000	3.0233e-007	-9.2110e+012	-9.1922e+012	9.1921e+012	5.2500e-015
-2.720e+000	3.0233e-007	-9.2299e+012	-9.2110e+012	9.2110e+012	5.2500e-015
-2.710e+000	3.0234e-007	-9.2488e+012	-9.2299e+012	9.2299e+012	5.2500e-015
-2.700e+000	3.0235e-007	-9.2677e+012	-9.2488e+012	9.2487e+012	5.2500e-015
-2.690e+000	3.0235e-007	-9.2865e+012	-9.2677e+012	9.2676e+012	5.2500e-015
-2.680e+000	3.0236e-007	-9.3054e+012	-9.2865e+012	9.2865e+012	5.2500e-015
-2.670e+000	3.0237e-007	-9.3243e+012	-9.3054e+012	9.3054e+012	5.2500e-015
-2.660e+000	3.0237e-007	-9.3431e+012	-9.3243e+012	9.3242e+012	5.2500e-015
-2.650e+000	3.0238e-007	-9.3620e+012	-9.3431e+012	9.3431e+012	5.2500e-015
-2.640e+000	3.0239e-007	-9.3809e+012	-9.3620e+012	9.3620e+012	5.2500e-015
-2.630e+000	3.0240e-007	-9.3998e+012	-9.3809e+012	9.3809e+012	5.2500e-015
-2.620e+000	3.0240e-007	-9.4186e+012	-9.3998e+012	9.3997e+012	5.2500e-015
-2.610e+000	3.0241e-007	-9.4375e+012	-9.4186e+012	9.4186e+012	5.2500e-015
-2.600e+000	3.0242e-007	-9.4564e+012	-9.4375e+012	9.4375e+012	5.2500e-015
-2.590e+000	3.0242e-007	-9.4753e+012	-9.4564e+012	9.4564e+012	5.2500e-015
-2.580e+000	3.0243e-007	-9.4941e+012	-9.4753e+012	9.4752e+012	5.2500e-015
-2.570e+000	3.0243e-007	-9.5130e+012	-9.4941e+012	9.4941e+012	5.2500e-015
-2.560e+000	3.0244e-007	-9.5319e+012	-9.5130e+012	9.5130e+012	5.2500e-015
-2.550e+000	3.0245e-007	-9.5508e+012	-9.5319e+012	9.5319e+012	5.2500e-015
-2.540e+000	3.0245e-007	-9.5697e+012	-9.5508e+012	9.5507e+012	5.2500e-015
-2.530e+000	3.0246e-007	-9.5885e+012	-9.5697e+012	9.5696e+012	5.2500e-015
-2.520e+000	3.0247e-007	-9.6074e+012	-9.5885e+012	9.5885e+012	5.2500e-015
-2.510e+000	3.0247e-007	-9.6263e+012	-9.6074e+012	9.6074e+012	5.2500e-015
-2.500e+000	3.0248e-007	-9.6452e+012	-9.6263e+012	9.6262e+012	5.2500e-015
-2.490e+000	3.0249e-007	-9.6640e+012	-9.6452e+012	9.6451e+012	5.2500e-015
-2.480e+000	3.0249e-007	-9.6829e+012	-9.6640e+012	9.6640e+012	5.2500e-015
-2.470e+000	3.0250e-007	-9.7018e+012	-9.6829e+012	9.6829e+012	5.2500e-015
-2.460e+000	3.0251e-007	-9.7207e+012	-9.7018e+012	9.7018e+012	5.2500e-015
