Y (ang)	Ec (eV)	Ev (eV)	E (V/cm)	Ef (eV)	n (cm-3)	p (cm-3)	Nd - Na (cm-3)
0.000000e+000	-5.40000000e+000	-8.80000000e+000	2.99689907e+007	-6.00000000e+000	1.8691e+008	1.0000e-010	0.0000e+000
1.000000e+001	-1.73110093e+000	-5.97110093e+000	9.43746039e+006	0.00000000e+000	9.2560e+020	1.0000e-010	-1.6796e+020
2.000000e+001	-7.87354894e-001	-5.02735489e+000	3.84695167e+006	0.00000000e+000	2.8423e+020	1.0000e-010	0.0000e+000
3.000000e+001	-4.02659727e-001	-4.64265973e+000	1.79429834e+006	0.00000000e+000	1.0436e+020	1.0000e-010	0.0000e+000
4.000000e+001	-2.23229893e-001	-4.46322989e+000	9.36821146e+005	0.00000000e+000	4.3596e+019	1.0000e-010	0.0000e+000
5.000000e+001	-1.29547779e-001	-4.36954778e+000	5.48513025e+005	0.00000000e+000	1.9742e+019	1.0000e-010	0.0000e+000
6.000000e+001	-7.46964761e-002	-4.31469648e+000	3.61162907e+005	0.00000000e+000	9.5253e+018	1.0000e-010	0.0000e+000
7.000000e+001	-3.85801854e-002	-4.27858019e+000	2.67283603e+005	0.00000000e+000	4.7730e+018	1.0000e-010	0.0000e+000
8.000000e+001	-1.18518251e-002	-4.25185183e+000	2.19450201e+005	0.00000000e+000	2.4320e+018	1.0000e-010	0.0000e+000
9.000000e+001	1.00931951e-002	-4.22990680e+000	1.94859162e+005	0.00000000e+000	1.2503e+018	1.0000e-010	0.0000e+000
1.000000e+002	2.95791113e-002	-4.21042089e+000	1.82145046e+005	0.00000000e+000	6.4641e+017	1.0000e-010	0.0000e+000
1.100000e+002	4.77936159e-002	-4.19220638e+000	1.75547920e+005	0.00000000e+000	3.3541e+017	1.0000e-010	0.0000e+000
1.200000e+002	6.53484079e-002	-4.17465159e+000	1.72117477e+005	0.00000000e+000	1.7441e+017	1.0000e-010	0.0000e+000
1.300000e+002	8.25601555e-002	-4.15743984e+000	1.70331534e+005	0.00000000e+000	9.0801e+016	1.0000e-010	0.0000e+000
1.400000e+002	9.95933090e-002	-4.14040669e+000	1.69401137e+005	0.00000000e+000	4.7304e+016	1.0000e-010	0.0000e+000
1.500000e+002	1.16533423e-001	-4.12346658e+000	1.68914405e+005	0.00000000e+000	2.4747e+016	1.0000e-010	0.0000e+000
1.600000e+002	1.33424863e-001	-4.10657514e+000	1.68661168e+005	0.00000000e+000	1.2875e+016	1.0000e-010	0.0000e+000
1.700000e+002	1.50290980e-001	-4.08970902e+000	1.68529286e+005	0.00000000e+000	6.7052e+015	1.0000e-010	0.0000e+000
1.800000e+002	1.67143909e-001	-4.07285609e+000	1.68460568e+005	0.00000000e+000	3.4938e+015	1.0000e-010	0.0000e+000
1.900000e+002	1.83989965e-001	-4.05601003e+000	1.68424752e+005	0.00000000e+000	1.8209e+015	1.0000e-010	0.0000e+000
2.000000e+002	2.00832441e-001	-4.03916756e+000	1.68406083e+005	0.00000000e+000	9.4919e+014	1.0000e-010	0.0000e+000
2.100000e+002	2.17673049e-001	-4.02232695e+000	1.68396351e+005	0.00000000e+000	4.9482e+014	1.0000e-010	0.0000e+000
2.200000e+002	2.34512684e-001	-4.00548732e+000	1.68391277e+005	0.00000000e+000	2.5796e+014	1.0000e-010	0.0000e+000
2.300000e+002	2.51351812e-001	-3.98864819e+000	1.68388632e+005	0.00000000e+000	1.3448e+014	1.0000e-010	0.0000e+000
2.400000e+002	2.68190675e-001	-3.97180933e+000	1.68387253e+005	0.00000000e+000	7.0111e+013	1.0000e-010	0.0000e+000
2.500000e+002	2.85029400e-001	-3.95497060e+000	1.68386534e+005	0.00000000e+000	3.6552e+013	1.0000e-010	0.0000e+000
2.600000e+002	-3.70131946e-001	-3.77013195e+000	1.60866607e+006	0.00000000e+000	9.2065e+019	1.0000e-010	1.6796e+020
2.700000e+002	-2.09265339e-001	-3.60926534e+000	8.53174857e+005	0.00000000e+000	3.9663e+019	1.0000e-010	0.0000e+000
2.800000e+002	-1.23947854e-001	-3.52394785e+000	4.99866331e+005	0.00000000e+000	1.8549e+019	1.0000e-010	0.0000e+000
2.900000e+002	-7.39612204e-002	-3.47396122e+000	3.20595615e+005	0.00000000e+000	9.4117e+018	1.0000e-010	0.0000e+000
