V	C (Fcm-2)	Initcharge (cm-2)	Finalcharge (cm-2)	ns Total (cm-2)	ps Total (cm-2)
-5.000e+000	6.6177e-010	-1.3037e+008	-8.9068e+007	8.8803e+007	5.2500e-015
-4.950e+000	3.9136e-009	-8.2009e+008	-5.7582e+008	5.7416e+008	5.2500e-015
-4.900e+000	1.5102e-008	-3.8872e+009	-2.9446e+009	2.9372e+009	5.2500e-015
-4.850e+000	3.6400e-008	-1.2318e+010	-1.0046e+010	1.0028e+010	5.2500e-015
-4.800e+000	7.0279e-008	-2.9683e+010	-2.5297e+010	2.5270e+010	5.2500e-015
-4.750e+000	1.1428e-007	-5.9724e+010	-5.2591e+010	5.2558e+010	5.2500e-015
-4.700e+000	1.5756e-007	-1.0364e+011	-9.3806e+010	9.3771e+010	5.2500e-015
-4.650e+000	1.9179e-007	-1.5942e+011	-1.4745e+011	1.4741e+011	5.2500e-015
-4.600e+000	2.1736e-007	-2.2428e+011	-2.1072e+011	2.1068e+011	5.2500e-015
-4.550e+000	2.3565e-007	-2.9570e+011	-2.8099e+011	2.8095e+011	5.2500e-015
-4.500e+000	2.4888e-007	-3.7183e+011	-3.5629e+011	3.5625e+011	5.2500e-015
-4.450e+000	2.5864e-007	-4.5140e+011	-4.3525e+011	4.3521e+011	5.2500e-015
-4.400e+000	2.6596e-007	-5.3353e+011	-5.1693e+011	5.1689e+011	5.2500e-015
-4.350e+000	2.7159e-007	-6.1762e+011	-6.0067e+011	6.0063e+011	5.2500e-015
-4.300e+000	2.7600e-007	-7.0323e+011	-6.8600e+011	6.8596e+011	5.2500e-015
-4.250e+000	2.7952e-007	-7.9004e+011	-7.7259e+011	7.7255e+011	5.2500e-015
-4.200e+000	2.8238e-007	-8.7782e+011	-8.6019e+011	8.6015e+011	5.2500e-015
-4.150e+000	2.8473e-007	-9.6639e+011	-9.4862e+011	9.4858e+011	5.2500e-015
-4.100e+000	2.8669e-007	-1.0556e+012	-1.0377e+012	1.0377e+012	5.2500e-015
-4.050e+000	2.8834e-007	-1.1454e+012	-1.1274e+012	1.1274e+012	5.2500e-015
-4.000e+000	2.8975e-007	-1.2357e+012	-1.2176e+012	1.2175e+012	5.2500e-015
-3.950e+000	2.9097e-007	-1.3263e+012	-1.3082e+012	1.3081e+012	5.2500e-015
-3.900e+000	2.9202e-007	-1.4173e+012	-1.3991e+012	1.3991e+012	5.2500e-015
-3.850e+000	2.9295e-007	-1.5086e+012	-1.4903e+012	1.4903e+012	5.2500e-015
-3.800e+000	2.9377e-007	-1.6002e+012	-1.5819e+012	1.5818e+012	5.2500e-015
-3.750e+000	2.9450e-007	-1.6920e+012	-1.6736e+012	1.6736e+012	5.2500e-015
-3.700e+000	2.9515e-007	-1.7841e+012	-1.7656e+012	1.7656e+012	5.2500e-015
-3.650e+000	2.9574e-007	-1.8763e+012	-1.8578e+012	1.8578e+012	5.2500e-015
-3.600e+000	2.9627e-007	-1.9687e+012	-1.9502e+012	1.9501e+012	5.2500e-015
-3.550e+000	2.9676e-007	-2.0612e+012	-2.0427e+012	2.0427e+012	5.2500e-015
-3.500e+000	2.9720e-007	-2.1539e+012	-2.1354e+012	2.1353e+012	5.2500e-015
-3.450e+000	2.9761e-007	-2.2467e+012	-2.2282e+012	2.2281e+012	5.2500e-015
-3.400e+000	2.9798e-007	-2.3397e+012	-2.3211e+012	2.3210e+012	5.2500e-015
-3.350e+000	2.9833e-007	-2.4327e+012	-2.4141e+012	2.4141e+012	5.2500e-015
-3.300e+000	2.9866e-007	-2.5259e+012	-2.5073e+012	2.5072e+012	5.2500e-015
-3.250e+000	2.9896e-007	-2.6192e+012	-2.6005e+012	2.6005e+012	5.2500e-015
-3.200e+000	2.9924e-007	-2.7125e+012	-2.6938e+012	2.6938e+012	5.2500e-015
-3.150e+000	2.9951e-007	-2.8060e+012	-2.7873e+012	2.7872e+012	5.2500e-015
-3.100e+000	2.9976e-007	-2.8995e+012	-2.8808e+012	2.8807e+012	5.2500e-015
-3.050e+000	2.9999e-007	-2.9931e+012	-2.9743e+012	2.9743e+012	5.2500e-015
-3.000e+000	3.0021e-007	-3.0867e+012	-3.0680e+012	3.0679e+012	5.2500e-015
-2.950e+000	3.0042e-007	-3.1804e+012	-3.1617e+012	3.1617e+012	5.2500e-015
-2.900e+000	3.0062e-007	-3.2742e+012	-3.2555e+012	3.2554e+012	5.2500e-015
-2.850e+000	3.0082e-007	-3.3681e+012	-3.3493e+012	3.3493e+012	5.2500e-015
-2.800e+000	3.0100e-007	-3.4620e+012	-3.4432e+012	3.4432e+012	5.2500e-015
-2.750e+000	3.0117e-007	-3.5560e+012	-3.5372e+012	3.5371e+012	5.2500e-015
-2.700e+000	3.0134e-007	-3.6500e+012	-3.6312e+012	3.6311e+012	5.2500e-015
-2.650e+000	3.0150e-007	-3.7441e+012	-3.7252e+012	3.7252e+012	5.2500e-015
-2.600e+000	3.0165e-007	-3.8382e+012	-3.8194e+012	3.8193e+012	5.2500e-015
-2.550e+000	3.0180e-007	-3.9323e+012	-3.9135e+012	3.9135e+012	5.2500e-015
-2.500e+000	3.0194e-007	-4.0266e+012	-4.0077e+012	4.0077e+012	5.2500e-015
-2.450e+000	3.0208e-007	-4.1208e+012	-4.1020e+012	4.1019e+012	5.2500e-015
-2.400e+000	3.0222e-007	-4.2151e+012	-4.1962e+012	4.1962e+012	5.2500e-015
-2.350e+000	3.0236e-007	-4.3094e+012	-4.2906e+012	4.2905e+012	5.2500e-015
-2.300e+000	3.0251e-007	-4.4038e+012	-4.3849e+012	4.3849e+012	5.2500e-015
-2.250e+000	3.0270e-007	-4.4983e+012	-4.4794e+012	4.4793e+012	5.2500e-015
-2.200e+000	3.0297e-007	-4.5928e+012	-4.5739e+012	4.5738e+012	5.2500e-015
-2.150e+000	3.0342e-007	-4.6874e+012	-4.6685e+012	4.6684e+012	5.2500e-015
-2.100e+000	3.0427e-007	-4.7822e+012	-4.7633e+012	4.7632e+012	5.2500e-015
-2.050e+000	3.0597e-007	-4.8775e+012	-4.8584e+012	4.8583e+012	5.2500e-015
-2.000e+000	3.0930e-007	-4.9735e+012	-4.9542e+012	4.9542e+012	5.2500e-015
-1.950e+000	3.1571e-007	-5.0712e+012	-5.0515e+012	5.0514e+012	5.2500e-015
-1.900e+000	3.2666e-007	-5.1716e+012	-5.1512e+012	5.1512e+012	5.2500e-015
-1.850e+000	3.4241e-007	-5.2764e+012	-5.2550e+012	5.2550e+012	5.2500e-015
-1.800e+000	3.6080e-007	-5.3867e+012	-5.3642e+012	5.3641e+012	5.2500e-015
-1.750e+000	3.7855e-007	-5.5026e+012	-5.4790e+012	5.4790e+012	5.2500e-015
-1.700e+000	3.9361e-007	-5.6237e+012	-5.5991e+012	5.5991e+012	5.2500e-015
-1.650e+000	4.0559e-007	-5.7488e+012	-5.7235e+012	5.7235e+012	5.2500e-015
-1.600e+000	4.1491e-007	-5.8772e+012	-5.8513e+012	5.8513e+012	5.2500e-015
-1.550e+000	4.2219e-007	-6.0081e+012	-5.9817e+012	5.9817e+012	5.2500e-015
-1.500e+000	4.2798e-007	-6.1410e+012	-6.1143e+012	6.1142e+012	5.2500e-015
-1.450e+000	4.3267e-007	-6.2754e+012	-6.2484e+012	6.2484e+012	5.2500e-015
-1.400e+000	4.3656e-007	-6.4112e+012	-6.3840e+012	6.3839e+012	5.2500e-015
-1.350e+000	4.3985e-007	-6.5481e+012	-6.5206e+012	6.5206e+012	5.2500e-015
-1.300e+000	4.4268e-007	-6.6859e+012	-6.6582e+012	6.6582e+012	5.2500e-015
-1.250e+000	4.4517e-007	-6.8245e+012	-6.7967e+012	6.7967e+012	5.2500e-015
-1.200e+000	4.4740e-007	-6.9638e+012	-6.9359e+012	6.9359e+012	5.2500e-015
-1.150e+000	4.4940e-007	-7.1039e+012	-7.0758e+012	7.0758e+012	5.2500e-015
-1.100e+000	4.5124e-007	-7.2444e+012	-7.2163e+012	7.2162e+012	5.2500e-015
-1.050e+000	4.5294e-007	-7.3856e+012	-7.3573e+012	7.3573e+012	5.2500e-015
