Y (ang)	Ec (eV)	Ev (eV)	E (V/cm)	Ef (eV)	n (cm-3)	p (cm-3)	Nd - Na (cm-3)
0.000000e+000	-6.40000000e+000	-9.80000000e+000	3.74649821e+007	-7.00000000e+000	1.8691e+008	1.0000e-010	0.0000e+000
1.000000e+001	-2.09350179e+000	-6.19350179e+000	1.16899883e+007	0.00000000e+000	1.2309e+021	1.0000e-010	-1.3848e+020
2.000000e+001	-9.24502962e-001	-5.02450296e+000	4.61807222e+006	0.00000000e+000	3.6151e+020	1.0000e-010	0.0000e+000
3.000000e+001	-4.62695740e-001	-4.56269574e+000	2.10655847e+006	0.00000000e+000	1.2839e+020	1.0000e-010	0.0000e+000
4.000000e+001	-2.52039894e-001	-4.35203989e+000	1.08717651e+006	0.00000000e+000	5.2109e+019	1.0000e-010	0.0000e+000
5.000000e+001	-1.43322243e-001	-4.24332224e+000	6.40795954e+005	0.00000000e+000	2.2818e+019	1.0000e-010	0.0000e+000
6.000000e+001	-7.92426480e-002	-4.17924265e+000	4.40437547e+005	0.00000000e+000	1.0242e+019	1.0000e-010	0.0000e+000
7.000000e+001	-3.51988933e-002	-4.13519889e+000	3.53979381e+005	0.00000000e+000	4.4196e+018	1.0000e-010	0.0000e+000
8.000000e+001	1.99044783e-004	-4.09980096e+000	3.20578738e+005	0.00000000e+000	1.7074e+018	1.0000e-010	0.0000e+000
9.000000e+001	3.22569186e-002	-4.06774308e+000	3.09073560e+005	0.00000000e+000	5.8813e+017	1.0000e-010	0.0000e+000
1.000000e+002	6.31642746e-002	-4.03683573e+000	3.05369510e+005	0.00000000e+000	1.8935e+017	1.0000e-010	0.0000e+000
1.100000e+002	9.37012256e-002	-4.00629877e+000	3.04209439e+005	0.00000000e+000	5.9301e+016	1.0000e-010	0.0000e+000
1.200000e+002	1.24122169e-001	-3.97587783e+000	3.03848486e+005	0.00000000e+000	1.8451e+016	1.0000e-010	0.0000e+000
1.300000e+002	1.54507018e-001	-3.94549298e+000	3.03737054e+005	0.00000000e+000	5.6962e+015	1.0000e-010	0.0000e+000
1.400000e+002	1.84880723e-001	-3.91511928e+000	3.03702639e+005	0.00000000e+000	1.7593e+015	1.0000e-010	0.0000e+000
1.500000e+002	2.15250987e-001	-3.88474901e+000	3.03692008e+005	0.00000000e+000	5.4342e+014	1.0000e-010	0.0000e+000
1.600000e+002	-3.14379812e-001	-3.71437981e+000	1.55741597e+006	0.00000000e+000	7.2243e+019	1.0000e-010	1.3848e+020
1.700000e+002	-1.02638215e-001	-3.57263821e+000	1.03645499e+006	0.00000000e+000	1.4312e+019	1.0000e-010	-1.3181e+019
1.800000e+002	5.70072843e-002	-3.48299272e+000	7.79393650e+005	0.00000000e+000	2.3843e+017	1.0000e-010	-1.3329e+019
1.900000e+002	1.90946649e-001	-3.41905335e+000	5.22673567e+005	0.00000000e+000	1.3913e+015	1.0000e-010	-1.3478e+019
2.000000e+002	2.99214006e-001	-3.38078599e+000	2.61760766e+005	0.00000000e+000	2.1116e+013	1.0000e-010	-1.3626e+019
2.100000e+002	3.81390083e-001	-3.36860992e+000	-3.40435113e+003	0.00000000e+000	8.7926e+011	1.0000e-010	-1.3774e+019
2.200000e+002	4.37049647e-001	-3.38295035e+000	-2.72856271e+005	0.00000000e+000	1.0211e+011	1.0000e-010	-1.3922e+019
2.300000e+002	4.65764020e-001	-3.42423598e+000	-5.46629486e+005	0.00000000e+000	3.3628e+010	1.0000e-010	-1.4071e+019
2.400000e+002	4.67101072e-001	-3.49289893e+000	-8.24758845e+005	0.00000000e+000	3.1933e+010	1.0000e-010	-1.4219e+019
2.500000e+002	4.40625187e-001	-3.58937481e+000	-1.10727958e+006	0.00000000e+000	8.8922e+010	1.0000e-010	-1.4367e+019
2.600000e+002	-1.74102770e-001	-3.57410277e+000	7.01956571e+005	0.00000000e+000	3.0359e+019	1.0000e-010	1.2397e+020
2.700000e+002	-1.03907113e-001	-3.50390711e+000	4.24797069e+005	0.00000000e+000	1.4551e+019	1.0000e-010	0.0000e+000
2.800000e+002	-6.14274064e-002	-3.46142741e+000	2.80425949e+005	0.00000000e+000	7.5795e+018	1.0000e-010	0.0000e+000
2.900000e+002	-3.33848115e-002	-3.43338481e+000	1.99725175e+005	0.00000000e+000	4.2368e+018	1.0000e-010	0.0000e+000
3.000000e+002	-1.34122939e-002	-3.41341229e+000	1.51338532e+005	0.00000000e+000	2.5403e+018	1.0000e-010	0.0000e+000
3.100000e+002	1.72155933e-003	-3.39827844e+000	1.20302778e+005	0.00000000e+000	1.6294e+018	1.0000e-010	0.0000e+000
3.200000e+002	1.37518371e-002	-3.38624816e+000	9.91723651e+004	0.00000000e+000	1.1094e+018	1.0000e-010	0.0000e+000
3.300000e+002	2.36690736e-002	-3.37633093e+000	8.40491002e+004	0.00000000e+000	7.9397e+017	1.0000e-010	0.0000e+000
