Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12	el Psi 13
2.000000e+001	6.0914e-017	2.1101e-008	3.6569e-016	-4.6549e-016	6.2199e-016	-8.0182e-016	1.0011e-015	-1.2193e-015	1.4567e-015	-1.7141e-015	1.9978e-015	-2.3758e-015	3.0428e-015
3.000000e+001	4.7348e-016	1.5934e-007	2.6717e-015	-3.3120e-015	4.3540e-015	-5.5474e-015	6.8630e-015	-8.2963e-015	9.8487e-015	-1.1525e-014	1.3367e-014	-1.5824e-014	2.0175e-014
4.000000e+001	3.8476e-015	1.2589e-006	2.0441e-014	-2.4696e-014	3.1955e-014	-4.0251e-014	4.9355e-014	-5.9228e-014	6.9875e-014	-8.1328e-014	9.3876e-014	-1.1065e-013	1.4045e-013
5.000000e+001	2.9295e-014	9.3010e-006	1.4593e-013	-1.7151e-013	2.1818e-013	-2.7148e-013	3.2971e-013	-3.9256e-013	4.6005e-013	-5.3236e-013	6.1135e-013	-7.1722e-013	9.0601e-013
6.000000e+001	2.0763e-013	6.3821e-005	9.6487e-013	-1.1006e-012	1.3745e-012	-1.6876e-012	2.0283e-012	-2.3943e-012	2.7856e-012	-3.2031e-012	3.6578e-012	-4.2692e-012	5.3648e-012
7.000000e+001	1.3621e-012	4.0420e-004	5.8690e-012	-6.4795e-012	7.9300e-012	-9.5951e-012	1.1401e-011	-1.3332e-011	1.5387e-011	-1.7570e-011	1.9941e-011	-2.3143e-011	2.8914e-011
8.000000e+001	8.2140e-012	2.3457e-003	3.2582e-011	-3.4699e-011	4.1528e-011	-4.9441e-011	5.8002e-011	-6.7119e-011	7.6777e-011	-8.6993e-011	9.8055e-011	-1.1308e-010	1.4038e-010
9.000000e+001	4.5171e-011	1.2364e-002	1.6349e-010	-1.6727e-010	1.9523e-010	-2.2824e-010	2.6396e-010	-3.0187e-010	3.4185e-010	-3.8396e-010	4.2942e-010	-4.9170e-010	6.0594e-010
1.000000e+002	2.2428e-010	5.8548e-002	7.3253e-010	-7.1618e-010	8.1247e-010	-9.3031e-010	1.0584e-009	-1.1941e-009	1.3367e-009	-1.4863e-009	1.6474e-009	-1.8708e-009	2.2861e-009
1.100000e+002	9.9296e-010	2.4565e-001	2.8850e-009	-2.6765e-009	2.9375e-009	-3.2830e-009	3.6640e-009	-4.0684e-009	4.4925e-009	-4.9359e-009	5.4131e-009	-6.0870e-009	7.3637e-009
1.200000e+002	9.2967e-010	1.7242e-001	1.2726e-009	-6.3340e-010	3.3109e-010	-7.9755e-011	-1.6232e-010	4.0801e-010	-6.6290e-010	9.3010e-010	-1.2152e-009	1.5671e-009	-2.1419e-009
1.300000e+002	9.4365e-010	7.5270e-002	-8.2841e-010	1.7738e-009	-2.5037e-009	3.1850e-009	-3.8532e-009	4.5230e-009	-5.2025e-009	5.8973e-009	-6.6293e-009	7.6085e-009	-9.3783e-009
1.400000e+002	1.7552e-009	2.5034e-002	-3.2426e-009	4.5131e-009	-5.5195e-009	6.4200e-009	-7.2650e-009	8.0782e-009	-8.8733e-009	9.6597e-009	-1.0471e-008	1.1618e-008	-1.3826e-008
1.500000e+002	5.2093e-009	6.9329e-003	-9.0243e-009	1.1078e-008	-1.2580e-008	1.3835e-008	-1.4949e-008	1.5969e-008	-1.6923e-008	1.7828e-008	-1.8746e-008	2.0197e-008	-2.3292e-008
1.600000e+002	1.9477e-008	1.6856e-003	-2.9324e-008	3.3351e-008	-3.6032e-008	3.8149e-008	-3.9948e-008	4.1536e-008	-4.2973e-008	4.4296e-008	-4.5647e-008	4.8239e-008	-5.4498e-008
1.700000e+002	8.3534e-008	3.7316e-004	-1.1089e-007	1.1894e-007	-1.2375e-007	1.2739e-007	-1.3041e-007	1.3304e-007	-1.3538e-007	1.3751e-007	-1.3983e-007	1.4594e-007	-1.6275e-007
1.800000e+002	3.9370e-007	7.7358e-005	-4.6735e-007	4.7669e-007	-4.8040e-007	4.8308e-007	-4.8543e-007	4.8760e-007	-4.8962e-007	4.9156e-007	-4.9466e-007	5.1130e-007	-5.6455e-007
1.900000e+002	1.9812e-006	1.5368e-005	-2.1218e-006	2.0674e-006	-2.0244e-006	1.9933e-006	-1.9700e-006	1.9517e-006	-1.9368e-006	1.9246e-006	-1.9190e-006	1.9668e-006	-2.1529e-006
2.000000e+002	1.0404e-005	2.9861e-006	-1.0105e-005	9.4306e-006	-8.9881e-006	8.6773e-006	-8.4434e-006	8.2581e-006	-8.1058e-006	7.9776e-006	-7.8871e-006	8.0204e-006	-8.7092e-006
2.100000e+002	5.5885e-005	5.7865e-007	-4.9364e-005	4.4182e-005	-4.1021e-005	3.8856e-005	-3.7245e-005	3.5979e-005	-3.4944e-005	3.4075e-005	-3.3413e-005	3.3722e-005	-3.6337e-005
2.200000e+002	3.0140e-004	1.1402e-007	-2.4226e-004	2.0801e-004	-1.8819e-004	1.7492e-004	-1.6519e-004	1.5762e-004	-1.5149e-004	1.4638e-004	-1.4238e-004	1.4262e-004	-1.5252e-004
2.300000e+002	1.6022e-003	2.3323e-008	-1.1702e-003	9.6328e-004	-8.4879e-004	7.7394e-004	-7.1993e-004	6.7843e-004	-6.4512e-004	6.1759e-004	-5.9575e-004	5.9226e-004	-6.2843e-004
2.400000e+002	8.2325e-003	5.0308e-009	-5.4440e-003	4.2890e-003	-3.6768e-003	3.2861e-003	-3.0088e-003	2.7986e-003	-2.6317e-003	2.4950e-003	-2.3860e-003	2.3532e-003	-2.4767e-003
2.500000e+002	4.0004e-002	9.8518e-010	-2.3800e-002	1.7891e-002	-1.4892e-002	1.3026e-002	-1.1726e-002	1.0754e-002	-9.9916e-003	9.3734e-003	-8.8806e-003	8.6833e-003	-9.0588e-003
2.600000e+002	1.7908e-001	-6.3651e-010	-9.4879e-002	6.7712e-002	-5.4542e-002	4.6574e-002	-4.1134e-002	3.7134e-002	-3.4039e-002	3.1557e-002	-2.9584e-002	2.8647e-002	-2.9589e-002
2.700000e+002	1.8603e-001	-1.6473e-009	-5.1638e-002	2.3027e-002	-1.1799e-002	5.9644e-003	-2.4512e-003	1.3763e-004	1.4797e-003	-2.6593e-003	3.5575e-003	-4.3870e-003	5.5183e-003
2.800000e+002	1.3960e-001	-1.8200e-009	3.0541e-002	-4.3415e-002	4.3448e-002	-4.1453e-002	3.9185e-002	-3.7032e-002	3.5076e-002	-3.3322e-002	3.1828e-002	-3.1282e-002	3.2737e-002
2.900000e+002	9.0150e-002	-1.5494e-009	9.7794e-002	-8.0356e-002	6.4178e-002	-5.2554e-002	4.4020e-002	-3.7521e-002	3.2413e-002	-2.8295e-002	2.4964e-002	-2.2709e-002	2.1845e-002
3.000000e+002	5.3238e-002	-1.1506e-009	1.3296e-001	-7.5603e-002	4.4233e-002	-2.6058e-002	1.4584e-002	-6.8727e-003	1.4500e-003	2.4916e-003	-5.4466e-003	7.9647e-003	-1.0969e-002
3.100000e+002	2.9573e-002	-7.8266e-010	1.3911e-001	-3.9923e-002	1.1084e-003	1.6221e-002	-2.4604e-002	2.8724e-002	-3.0619e-002	3.1283e-002	-3.1318e-002	3.1761e-002	-3.3979e-002
3.200000e+002	1.5700e-002	-5.0027e-010	1.2634e-001	8.8038e-003	-4.2506e-002	5.0010e-002	-4.9364e-002	4.6001e-002	-4.1837e-002	3.7604e-002	-3.3665e-002	3.0749e-002	-2.9419e-002
3.300000e+002	8.0468e-003	-3.0505e-010	1.0460e-001	5.5226e-002	-7.0107e-002	6.0878e-002	-4.8383e-002	3.6930e-002	-2.7282e-002	1.9357e-002	-1.2913e-002	7.7173e-003	-2.8989e-003
3.400000e+002	4.0084e-003	-1.7919e-010	8.1001e-002	9.0125e-002	-7.5024e-002	4.7078e-002	-2.4745e-002	8.6680e-003	2.6292e-003	-1.0508e-002	1.6013e-002	-2.0431e-002	2.5630e-002
3.500000e+002	1.9499e-003	-1.0209e-010	5.9571e-002	1.1025e-001	-5.9017e-002	1.6306e-002	9.3755e-003	-2.3711e-002	3.1178e-002	-3.4535e-002	3.5518e-002	-3.5947e-002	3.7536e-002
3.600000e+002	9.2956e-004	-5.6676e-011	4.2030e-002	1.1653e-001	-2.8819e-002	-1.9718e-002	3.9885e-002	-4.5739e-002	4.4769e-002	-4.0706e-002	3.5492e-002	-3.0619e-002	2.6538e-002
