Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12
2.000000e+001	4.0522e-019	1.4920e-018	1.8961e-018	-2.3171e-018	2.7312e-018	-3.1288e-018	3.5119e-018	-3.8831e-018	4.2445e-018	-4.5981e-018	4.9604e-018	-5.4858e-018
3.000000e+001	3.4229e-018	1.2086e-017	1.4774e-017	-1.7654e-017	2.0511e-017	-2.3249e-017	2.5879e-017	-2.8418e-017	3.0883e-017	-3.3286e-017	3.5748e-017	-3.9371e-017
4.000000e+001	3.1057e-017	1.0540e-016	1.2423e-016	-1.4534e-016	1.6657e-016	-1.8693e-016	2.0646e-016	-2.2525e-016	2.4345e-016	-2.6114e-016	2.7927e-016	-3.0638e-016
5.000000e+001	2.7410e-016	8.9328e-016	1.0140e-015	-1.1608e-015	1.3118e-015	-1.4572e-015	1.5965e-015	-1.7303e-015	1.8595e-015	-1.9849e-015	2.1134e-015	-2.3093e-015
6.000000e+001	2.3483e-015	7.3392e-015	8.0139e-015	-8.9702e-015	9.9916e-015	-1.0982e-014	1.1931e-014	-1.2842e-014	1.3720e-014	-1.4571e-014	1.5445e-014	-1.6806e-014
7.000000e+001	1.9511e-014	5.8397e-014	6.1257e-014	-6.6989e-014	7.3504e-014	-7.9903e-014	8.6059e-014	-9.1973e-014	9.7668e-014	-1.0318e-013	1.0885e-013	-1.1794e-013
8.000000e+001	1.5705e-013	4.4950e-013	4.5232e-013	-4.8286e-013	5.2162e-013	-5.6059e-013	5.9837e-013	-6.3476e-013	6.6981e-013	-7.0371e-013	7.3881e-013	-7.9689e-013
9.000000e+001	1.2234e-012	3.3433e-012	3.2223e-012	-3.3548e-012	3.5658e-012	-3.7869e-012	4.0045e-012	-4.2153e-012	4.4189e-012	-4.6161e-012	4.8218e-012	-5.1766e-012
1.000000e+002	9.2125e-012	2.3997e-011	2.2117e-011	-2.2433e-011	2.3446e-011	-2.4594e-011	2.5754e-011	-2.6892e-011	2.7999e-011	-2.9073e-011	3.0209e-011	-3.2274e-011
1.100000e+002	6.6979e-011	1.6599e-010	1.4603e-010	-1.4416e-010	1.4804e-010	-1.5329e-010	1.5889e-010	-1.6453e-010	1.7007e-010	-1.7550e-010	1.8135e-010	-1.9276e-010
1.200000e+002	4.6954e-010	1.1050e-009	9.2606e-010	-8.8863e-010	8.9594e-010	-9.1530e-010	9.3870e-010	-9.6345e-010	9.8848e-010	-1.0134e-009	1.0411e-009	-1.1007e-009
1.300000e+002	3.1692e-009	7.0667e-009	5.6303e-009	-5.2450e-009	5.1873e-009	-5.2250e-009	5.2990e-009	-5.3886e-009	5.4852e-009	-5.5849e-009	5.7027e-009	-5.9953e-009
1.400000e+002	2.0564e-008	4.3347e-008	3.2755e-008	-2.9580e-008	2.8670e-008	-2.8452e-008	2.8517e-008	-2.8719e-008	2.8992e-008	-2.9307e-008	2.9733e-008	-3.1074e-008
1.500000e+002	1.2806e-007	2.5452e-007	1.8194e-007	-1.5903e-007	1.5090e-007	-1.4742e-007	1.4594e-007	-1.4547e-007	1.4557e-007	-1.4603e-007	1.4715e-007	-1.5283e-007
1.600000e+002	7.6391e-007	1.4276e-006	9.6267e-007	-8.1299e-007	7.5428e-007	-7.2480e-007	7.0816e-007	-6.9826e-007	6.9230e-007	-6.8887e-007	6.8916e-007	-7.1100e-007
1.700000e+002	4.3564e-006	7.6314e-006	4.8390e-006	-3.9406e-006	3.5701e-006	-3.3708e-006	3.2479e-006	-3.1657e-006	3.1078e-006	-3.0658e-006	3.0437e-006	-3.1179e-006
1.800000e+002	2.3697e-005	3.8777e-005	2.3040e-005	-1.8052e-005	1.5946e-005	-1.4776e-005	1.4027e-005	-1.3504e-005	1.3118e-005	-1.2822e-005	1.2625e-005	-1.2836e-005
1.900000e+002	1.2265e-004	1.8676e-004	1.0356e-004	-7.7865e-005	6.6947e-005	-6.0805e-005	5.6809e-005	-5.3972e-005	5.1837e-005	-5.0166e-005	4.8961e-005	-4.9370e-005
2.000000e+002	6.0231e-004	8.4970e-004	4.3770e-004	-3.1492e-004	2.6301e-004	-2.3378e-004	2.1469e-004	-2.0107e-004	1.9075e-004	-1.8263e-004	1.7654e-004	-1.7644e-004
2.100000e+002	2.7977e-003	3.6386e-003	1.7321e-003	-1.1884e-003	9.6176e-004	-8.3508e-004	7.5268e-004	-6.9401e-004	6.4965e-004	-6.1472e-004	5.8801e-004	-5.8199e-004
2.200000e+002	1.2248e-002	1.4601e-002	6.3837e-003	-4.1597e-003	3.2531e-003	-2.7531e-003	2.4310e-003	-2.2034e-003	2.0324e-003	-1.8983e-003	1.7949e-003	-1.7574e-003
2.300000e+002	5.0327e-002	5.4635e-002	2.1777e-002	-1.3411e-002	1.0100e-002	-8.3084e-003	7.1713e-003	-6.3769e-003	5.7857e-003	-5.3261e-003	4.9708e-003	-4.8086e-003
2.400000e+002	1.9309e-001	1.8938e-001	6.8211e-002	-3.9459e-002	2.8489e-002	-2.2702e-002	1.9098e-002	-1.6619e-002	1.4798e-002	-1.3399e-002	1.2321e-002	-1.1754e-002
2.500000e+002	1.1465e-001	4.1535e-002	-8.1614e-003	1.2359e-002	-1.2459e-002	1.1985e-002	-1.1442e-002	1.0931e-002	-1.0472e-002	1.0063e-002	-9.7271e-003	9.6962e-003
2.600000e+002	1.5574e-001	-7.7407e-002	-8.7698e-002	6.6831e-002	-5.4718e-002	4.6985e-002	-4.1575e-002	3.7542e-002	-3.4396e-002	3.1860e-002	-2.9849e-002	2.8938e-002
