Y (ang)	Ec (eV)	Ev (eV)	E (V/cm)	Ef (eV)	n (cm-3)	p (cm-3)	Nd - Na (cm-3)
0.000000e+000	-6.40000000e+000	-9.80000000e+000	3.74644349e+007	-7.00000000e+000	1.8691e+008	1.0000e-010	0.0000e+000
1.000000e+001	-2.09355651e+000	-6.19355651e+000	1.16884825e+007	0.00000000e+000	1.2309e+021	1.0000e-010	-1.3848e+020
2.000000e+001	-9.24708261e-001	-5.02470826e+000	4.61421385e+006	0.00000000e+000	3.6163e+020	1.0000e-010	0.0000e+000
3.000000e+001	-4.63286876e-001	-4.56328688e+000	2.09791148e+006	0.00000000e+000	1.2863e+020	1.0000e-010	0.0000e+000
4.000000e+001	-2.53495728e-001	-4.35349573e+000	1.06984343e+006	0.00000000e+000	5.2553e+019	1.0000e-010	0.0000e+000
5.000000e+001	-1.46511386e-001	-4.24651139e+000	6.08982347e+005	0.00000000e+000	2.3559e+019	1.0000e-010	0.0000e+000
6.000000e+001	-8.56131513e-002	-4.18561315e+000	3.88164560e+005	0.00000000e+000	1.1288e+019	1.0000e-010	0.0000e+000
7.000000e+001	-4.67966952e-002	-4.14679670e+000	2.76665948e+005	0.00000000e+000	5.6997e+018	1.0000e-010	0.0000e+000
8.000000e+001	-1.91301004e-002	-4.11913010e+000	2.18626108e+005	0.00000000e+000	2.9669e+018	1.0000e-010	0.0000e+000
9.000000e+001	2.73251040e-003	-4.09726749e+000	1.87733732e+005	0.00000000e+000	1.5792e+018	1.0000e-010	0.0000e+000
1.000000e+002	2.15058836e-002	-4.07849412e+000	1.71006228e+005	0.00000000e+000	8.5509e+017	1.0000e-010	0.0000e+000
1.100000e+002	3.86065065e-002	-4.06139349e+000	1.61837440e+005	0.00000000e+000	4.6870e+017	1.0000e-010	0.0000e+000
1.200000e+002	5.47902504e-002	-4.04520975e+000	1.56771727e+005	0.00000000e+000	2.5895e+017	1.0000e-010	0.0000e+000
1.300000e+002	7.04674232e-002	-4.02953258e+000	1.53959335e+005	0.00000000e+000	1.4377e+017	1.0000e-010	0.0000e+000
1.400000e+002	8.58633566e-002	-4.01413664e+000	1.52393483e+005	0.00000000e+000	8.0044e+016	1.0000e-010	0.0000e+000
1.500000e+002	1.01102705e-001	-3.99889730e+000	1.51520234e+005	0.00000000e+000	4.4639e+016	1.0000e-010	0.0000e+000
1.600000e+002	1.16254728e-001	-3.98374527e+000	1.51030886e+005	0.00000000e+000	2.5015e+016	1.0000e-010	0.0000e+000
1.700000e+002	1.31357817e-001	-3.96864218e+000	1.50758053e+005	0.00000000e+000	1.3947e+016	1.0000e-010	0.0000e+000
1.800000e+002	1.46433622e-001	-3.95356638e+000	1.50605775e+005	0.00000000e+000	7.7842e+015	1.0000e-010	0.0000e+000
1.900000e+002	1.61494200e-001	-3.93850580e+000	1.50520735e+005	0.00000000e+000	4.3472e+015	1.0000e-010	0.0000e+000
