V	C (Fcm-2)	Initcharge (cm-2)	Finalcharge (cm-2)	ns Total (cm-2)	ps Total (cm-2)
-3.000e+000	2.6846e-007	-5.5161e+011	-5.3486e+011	5.3482e+011	5.2500e-015
-2.990e+000	2.6966e-007	-5.6844e+011	-5.5161e+011	5.5157e+011	5.2500e-015
-2.980e+000	2.7078e-007	-5.8534e+011	-5.6844e+011	5.6840e+011	5.2500e-015
-2.970e+000	2.7186e-007	-6.0231e+011	-5.8534e+011	5.8530e+011	5.2500e-015
-2.960e+000	2.7289e-007	-6.1934e+011	-6.0231e+011	6.0227e+011	5.2500e-015
-2.950e+000	2.7386e-007	-6.3644e+011	-6.1934e+011	6.1930e+011	5.2500e-015
-2.940e+000	2.7479e-007	-6.5359e+011	-6.3644e+011	6.3640e+011	5.2500e-015
-2.930e+000	2.7568e-007	-6.7079e+011	-6.5359e+011	6.5355e+011	5.2500e-015
-2.920e+000	2.7653e-007	-6.8805e+011	-6.7079e+011	6.7075e+011	5.2500e-015
-2.910e+000	2.7734e-007	-7.0536e+011	-6.8805e+011	6.8801e+011	5.2500e-015
-2.900e+000	2.7811e-007	-7.2272e+011	-7.0536e+011	7.0532e+011	5.2500e-015
-2.890e+000	2.7884e-007	-7.4013e+011	-7.2272e+011	7.2268e+011	5.2500e-015
-2.880e+000	2.7956e-007	-7.5757e+011	-7.4013e+011	7.4009e+011	5.2500e-015
-2.870e+000	2.8023e-007	-7.7506e+011	-7.5757e+011	7.5753e+011	5.2500e-015
-2.860e+000	2.8088e-007	-7.9260e+011	-7.7506e+011	7.7503e+011	5.2500e-015
-2.850e+000	2.8151e-007	-8.1017e+011	-7.9260e+011	7.9256e+011	5.2500e-015
-2.840e+000	2.8211e-007	-8.2777e+011	-8.1017e+011	8.1013e+011	5.2500e-015
-2.830e+000	2.8268e-007	-8.4542e+011	-8.2777e+011	8.2773e+011	5.2500e-015
-2.820e+000	2.8323e-007	-8.6310e+011	-8.4542e+011	8.4538e+011	5.2500e-015
-2.810e+000	2.8376e-007	-8.8081e+011	-8.6310e+011	8.6306e+011	5.2500e-015
-2.800e+000	2.8427e-007	-8.9855e+011	-8.8081e+011	8.8077e+011	5.2500e-015
