Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11
2.000000e+001	3.2083e-021	-9.4040e-021	1.4507e-020	-1.8982e-020	2.3089e-020	-2.6945e-020	3.0617e-020	-3.4144e-020	3.7555e-020	-4.1014e-020	4.5927e-020
3.000000e+001	2.2445e-020	-6.1788e-020	9.2706e-020	-1.1921e-019	1.4316e-019	-1.6541e-019	1.8641e-019	-2.0643e-019	2.2567e-019	-2.4513e-019	2.7313e-019
4.000000e+001	9.0574e-020	-2.2249e-019	3.1673e-019	-3.9376e-019	4.6125e-019	-5.2247e-019	5.7916e-019	-6.3234e-019	6.8276e-019	-7.3345e-019	8.0887e-019
5.000000e+001	4.1558e-019	-9.1954e-019	1.2473e-018	-1.5031e-018	1.7207e-018	-1.9136e-018	2.0890e-018	-2.2510e-018	2.4026e-018	-2.5546e-018	2.7903e-018
6.000000e+001	2.1690e-018	-4.3862e-018	5.7100e-018	-6.7031e-018	7.5262e-018	-8.2425e-018	8.8841e-018	-9.4692e-018	1.0011e-017	-1.0553e-017	1.1437e-017
7.000000e+001	1.2558e-017	-2.3450e-017	2.9450e-017	-3.3792e-017	3.7311e-017	-4.0326e-017	4.2990e-017	-4.5395e-017	4.7600e-017	-4.9816e-017	5.3623e-017
8.000000e+001	7.9062e-017	-1.3732e-016	1.6695e-016	-1.8768e-016	2.0414e-016	-2.1804e-016	2.3018e-016	-2.4104e-016	2.5091e-016	-2.6091e-016	2.7917e-016
9.000000e+001	5.3275e-016	-8.6526e-016	1.0210e-015	-1.1263e-015	1.2083e-015	-1.2767e-015	1.3358e-015	-1.3882e-015	1.4355e-015	-1.4838e-015	1.5791e-015
1.000000e+002	3.7929e-015	-5.7833e-015	6.6353e-015	-7.1917e-015	7.6171e-015	-7.9668e-015	8.2663e-015	-8.5295e-015	8.7658e-015	-9.0116e-015	9.5414e-015
1.100000e+002	2.8218e-014	-4.0512e-014	4.5257e-014	-4.8238e-014	5.0472e-014	-5.2285e-014	5.3823e-014	-5.5164e-014	5.6361e-014	-5.7641e-014	6.0738e-014
1.200000e+002	2.1724e-013	-2.9431e-013	3.2047e-013	-3.3612e-013	3.4759e-013	-3.5678e-013	3.6450e-013	-3.7118e-013	3.7711e-013	-3.8376e-013	4.0252e-013
1.300000e+002	1.7154e-012	-2.1966e-012	2.3330e-012	-2.4090e-012	2.4631e-012	-2.5057e-012	2.5412e-012	-2.5716e-012	2.5985e-012	-2.6316e-012	2.7480e-012
1.400000e+002	1.3781e-011	-1.6696e-011	1.7305e-011	-1.7597e-011	1.7793e-011	-1.7943e-011	1.8066e-011	-1.8171e-011	1.8264e-011	-1.8409e-011	1.9140e-011
1.500000e+002	1.1175e-010	-1.2817e-010	1.2967e-010	-1.2988e-010	1.2988e-010	-1.2985e-010	1.2982e-010	-1.2978e-010	1.2976e-010	-1.3018e-010	1.3477e-010
1.600000e+002	9.0773e-010	-9.8568e-010	9.7347e-010	-9.6041e-010	9.4995e-010	-9.4156e-010	9.3464e-010	-9.2875e-010	9.2371e-010	-9.2242e-010	9.5081e-010
1.700000e+002	7.3294e-009	-7.5326e-009	7.2610e-009	-7.0554e-009	6.9019e-009	-6.7818e-009	6.6839e-009	-6.6015e-009	6.5310e-009	-6.4914e-009	6.6623e-009
1.800000e+002	5.8367e-008	-5.6728e-008	5.3352e-008	-5.1047e-008	4.9378e-008	-4.8093e-008	4.7055e-008	-4.6189e-008	4.5451e-008	-4.4960e-008	4.5942e-008
1.900000e+002	4.5464e-007	-4.1734e-007	3.8272e-007	-3.6043e-007	3.4466e-007	-3.3266e-007	3.2307e-007	-3.1512e-007	3.0837e-007	-3.0356e-007	3.0878e-007
2.000000e+002	3.4334e-006	-2.9710e-006	2.6544e-006	-2.4591e-006	2.3236e-006	-2.2218e-006	2.1411e-006	-2.0747e-006	2.0187e-006	-1.9771e-006	2.0018e-006
2.100000e+002	2.4893e-005	-2.0253e-005	1.7607e-005	-1.6034e-005	1.4962e-005	-1.4166e-005	1.3541e-005	-1.3031e-005	1.2604e-005	-1.2278e-005	1.2370e-005
2.200000e+002	1.7136e-004	-1.3063e-004	1.1032e-004	-9.8649e-005	9.0839e-005	-8.5112e-005	8.0659e-005	-7.7051e-005	7.4048e-005	-7.1728e-005	7.1887e-005
2.300000e+002	1.1056e-003	-7.8595e-004	6.4339e-004	-5.6414e-004	5.1208e-004	-4.7440e-004	4.4540e-004	-4.2210e-004	4.0285e-004	-3.8783e-004	3.8648e-004
2.400000e+002	6.5820e-003	-4.3358e-003	3.4302e-003	-2.9434e-003	2.6298e-003	-2.4061e-003	2.2359e-003	-2.1004e-003	1.9892e-003	-1.9021e-003	1.8835e-003
