Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12	el Psi 13	el Psi 14	el Psi 15	el Psi 16	el Psi 17
2.000000e+001	8.9833e-017	4.8935e-014	6.9187e-017	-1.0721e-016	-1.8927e-030	1.5883e-016	-2.2752e-016	3.1999e-016	-4.4578e-016	6.1847e-016	-8.5797e-016	1.1942e-015	-1.6735e-015	2.3703e-015	-3.4131e-015	5.0647e-015	-8.0159e-015
3.000000e+001	7.3108e-016	3.9571e-013	5.3105e-016	-8.0215e-016	-1.4031e-029	1.1690e-015	-1.6539e-015	2.3022e-015	-3.1781e-015	4.3731e-015	-6.0206e-015	8.3204e-015	-1.1581e-014	1.6296e-014	-2.3319e-014	3.4392e-014	-5.4102e-014
4.000000e+001	6.3511e-015	3.4169e-012	4.3638e-015	-6.4336e-015	-1.1156e-028	9.2316e-015	-1.2907e-014	1.7790e-014	-2.4347e-014	3.3242e-014	-4.5437e-014	6.2367e-014	-8.6248e-014	1.2062e-013	-1.7158e-013	2.5159e-013	-3.9349e-013
5.000000e+001	5.3140e-014	2.8411e-011	3.4465e-014	-4.9548e-014	-8.5136e-028	6.9956e-014	-9.6609e-014	1.3180e-013	-1.7878e-013	2.4212e-013	-3.2845e-013	4.4767e-013	-6.1493e-013	8.5450e-013	-1.2080e-012	1.7606e-012	-2.7371e-012
6.000000e+001	4.2697e-013	2.2679e-010	2.6073e-013	-3.6508e-013	-6.2135e-027	5.0680e-013	-6.9093e-013	9.3256e-013	-1.2531e-012	1.6826e-012	-2.2647e-012	3.0638e-012	-4.1790e-012	5.7679e-012	-8.1008e-012	1.1732e-011	-1.8124e-011
7.000000e+001	3.2884e-012	1.7348e-009	1.8855e-012	-2.5681e-012	-4.3274e-026	3.5023e-012	-4.7104e-012	6.2865e-012	-8.3640e-012	1.1131e-011	-1.4857e-011	1.9943e-011	-2.7000e-011	3.7002e-011	-5.1612e-011	7.4250e-011	-1.1393e-010
8.000000e+001	2.4230e-011	1.2691e-008	1.3005e-011	-1.7207e-011	-2.8690e-025	2.3030e-011	-3.0536e-011	4.0272e-011	-5.3024e-011	6.9898e-011	-9.2483e-011	1.2312e-010	-1.6539e-010	2.2495e-010	-3.1149e-010	4.4496e-010	-6.7793e-010
9.000000e+001	1.7045e-010	8.8609e-008	8.5347e-011	-1.0952e-010	-1.8059e-024	1.4372e-010	-1.8771e-010	2.4446e-010	-3.1833e-010	4.1546e-010	-5.4460e-010	7.1871e-010	-9.5741e-010	1.2918e-009	-1.7751e-009	2.5166e-009	-3.8055e-009
1.000000e+002	1.1420e-009	5.8902e-007	5.3148e-010	-6.6029e-010	-1.0761e-023	8.4858e-010	-1.0907e-009	1.4017e-009	-1.8039e-009	2.3293e-009	-3.0234e-009	3.9529e-009	-5.2192e-009	6.9825e-009	-9.5158e-009	1.3383e-008	-2.0075e-008
1.100000e+002	7.2691e-009	3.7180e-006	3.1310e-009	-3.7585e-009	-6.0494e-023	4.7242e-009	-5.9699e-009	7.5635e-009	-9.6131e-009	1.2272e-008	-1.5762e-008	2.0403e-008	-2.6685e-008	3.5375e-008	-4.7786e-008	6.6629e-008	-9.9086e-008
1.200000e+002	4.3827e-008	2.2220e-005	1.7390e-008	-2.0125e-008	-3.1963e-022	2.4703e-008	-3.0654e-008	3.8249e-008	-4.7967e-008	6.0494e-008	-7.6815e-008	9.8376e-008	-1.2735e-007	1.6718e-007	-2.2369e-007	3.0902e-007	-4.5528e-007
1.300000e+002	2.4948e-007	1.2530e-004	9.0698e-008	-1.0094e-007	-1.5803e-021	1.2078e-007	-1.4698e-007	1.8041e-007	-2.2300e-007	2.7755e-007	-3.4814e-007	4.4072e-007	-5.6426e-007	7.3287e-007	-9.7054e-007	1.3273e-006	-1.9358e-006
1.400000e+002	1.3359e-006	6.6427e-004	4.4224e-007	-4.7186e-007	-7.2746e-021	5.4933e-007	-6.5447e-007	7.8921e-007	-9.6030e-007	1.1782e-006	-1.4583e-006	1.8229e-006	-2.3059e-006	2.9602e-006	-3.8762e-006	5.2426e-006	-7.5616e-006
1.500000e+002	6.7002e-006	3.2961e-003	2.0054e-006	-2.0442e-006	-3.0992e-020	2.3098e-006	-2.6891e-006	3.1804e-006	-3.8040e-006	4.5945e-006	-5.6037e-006	6.9081e-006	-8.6228e-006	1.0928e-005	-1.4132e-005	1.8881e-005	-2.6900e-005
1.600000e+002	3.1323e-005	1.5232e-002	8.4052e-006	-8.1511e-006	-1.2133e-019	8.9131e-006	-1.0117e-005	1.1711e-005	-1.3744e-005	1.6313e-005	-1.9575e-005	2.3761e-005	-2.9221e-005	3.6506e-005	-4.6553e-005	6.1348e-005	-8.6197e-005
1.700000e+002	1.3570e-004	6.5166e-002	3.2319e-005	-2.9665e-005	-4.3266e-019	3.1280e-005	-3.4515e-005	3.9009e-005	-4.4813e-005	5.2159e-005	-6.1447e-005	7.3292e-005	-8.8630e-005	1.0893e-004	-1.3671e-004	1.7735e-004	-2.4526e-004
1.800000e+002	5.4096e-004	2.5622e-001	1.1294e-004	-9.7488e-005	-1.3897e-018	9.8675e-005	-1.0545e-004	1.1598e-004	-1.3003e-004	1.4798e-004	-1.7068e-004	1.9951e-004	-2.3659e-004	2.8530e-004	-3.5145e-004	4.4759e-004	-6.0748e-004
1.900000e+002	3.6692e-004	1.5966e-001	2.0372e-005	3.0504e-006	1.4871e-019	-1.6337e-005	2.8161e-005	-4.0716e-005	5.5185e-005	-7.2605e-005	9.4183e-005	-1.2153e-004	1.5700e-004	-2.0419e-004	2.6916e-004	-3.6465e-004	5.2455e-004
2.000000e+002	2.1152e-004	6.2964e-002	-8.0584e-005	1.0174e-004	1.5869e-018	-1.1947e-004	1.3873e-004	-1.6105e-004	1.8753e-004	-2.1939e-004	2.5827e-004	-3.0645e-004	3.6733e-004	-4.4616e-004	5.5193e-004	-7.0403e-004	9.5472e-004
2.100000e+002	2.4568e-004	1.9442e-002	-2.1648e-004	2.2485e-004	3.2969e-018	-2.3676e-004	2.5309e-004	-2.7371e-004	2.9873e-004	-3.2863e-004	3.6429e-004	-4.0714e-004	4.5937e-004	-5.2446e-004	6.0848e-004	-7.2557e-004	9.1444e-004
2.200000e+002	6.6231e-004	5.1856e-003	-5.8925e-004	5.5050e-004	7.7503e-018	-5.3853e-004	5.4157e-004	-5.5415e-004	5.7362e-004	-5.9875e-004	6.2914e-004	-6.6497e-004	7.0704e-004	-7.5687e-004	8.1769e-004	-8.9897e-004	1.0278e-003
2.300000e+002	2.4338e-003	1.2685e-003	-1.8948e-003	1.6411e-003	2.2440e-017	-1.5231e-003	1.4673e-003	-1.4451e-003	1.4432e-003	-1.4547e-003	1.4757e-003	-1.5044e-003	1.5398e-003	-1.5816e-003	1.6317e-003	-1.6999e-003	1.8161e-003
2.400000e+002	9.9500e-003	2.8027e-004	-6.7966e-003	5.5285e-003	7.3835e-017	-4.9184e-003	4.5817e-003	-4.3833e-003	4.2633e-003	-4.1916e-003	4.1516e-003	-4.1334e-003	4.1314e-003	-4.1421e-003	4.1662e-003	-4.2225e-003	4.3690e-003
2.500000e+002	4.2320e-002	-2.2397e-005	-2.5531e-002	1.9598e-002	2.5614e-016	-1.6774e-002	1.5160e-002	-1.4133e-002	1.3431e-002	-1.2925e-002	1.2544e-002	-1.2247e-002	1.2010e-002	-1.1818e-002	1.1666e-002	-1.1602e-002	1.1767e-002
2.600000e+002	1.7854e-001	-3.7887e-004	-9.5105e-002	6.8900e-002	8.8134e-016	-5.6746e-002	4.9766e-002	-4.5225e-002	4.2008e-002	-3.9580e-002	3.7656e-002	-3.6073e-002	3.4731e-002	-3.3566e-002	3.2558e-002	-3.1817e-002	3.1696e-002
2.700000e+002	1.8545e-001	-4.4137e-004	-5.1806e-002	2.3095e-002	2.2944e-016	-1.1489e-002	5.0895e-003	-8.7778e-004	-2.2210e-003	4.6739e-003	-6.7130e-003	8.4658e-003	-1.0008e-002	1.1389e-002	-1.2651e-002	1.3887e-002	-1.5352e-002
2.800000e+002	1.3966e-001	-3.5565e-004	3.0180e-002	-4.4426e-002	-6.5396e-016	4.5968e-002	-4.5455e-002	4.4547e-002	-4.3578e-002	4.2611e-002	-4.1650e-002	4.0686e-002	-3.9712e-002	3.8723e-002	-3.7742e-002	3.6931e-002	-3.6716e-002
2.900000e+002	9.0574e-002	-2.4316e-004	9.7494e-002	-8.1751e-002	-1.0480e-015	6.6592e-002	-5.5434e-002	4.6876e-002	-3.9942e-002	3.4065e-002	-2.8919e-002	2.4306e-002	-2.0105e-002	1.6237e-002	-1.2653e-002	9.3365e-003	-6.2198e-003
3.000000e+002	5.3720e-002	-1.5095e-004	1.3287e-001	-7.6476e-002	-8.2390e-016	4.4421e-002	-2.4733e-002	1.1292e-002	-1.4023e-003	-6.2384e-003	1.2323e-002	-1.7252e-002	2.1277e-002	-2.4564e-002	2.7252e-002	-2.9579e-002	3.2075e-002
3.100000e+002	2.9963e-002	-8.7744e-005	1.3919e-001	-3.9671e-002	-2.0358e-016	-1.4651e-003	2.1427e-002	-3.2197e-002	3.8210e-002	-4.1405e-002	4.2756e-002	-4.2816e-002	4.1929e-002	-4.0330e-002	3.8211e-002	-3.5847e-002	3.3642e-002
3.200000e+002	1.5967e-002	-4.8587e-005	1.2645e-001	1.0241e-002	4.9798e-016	-4.6689e-002	5.5949e-002	-5.5785e-002	5.1719e-002	-4.5867e-002	3.9191e-002	-3.2192e-002	2.5165e-002	-1.8296e-002	1.1714e-002	-5.4848e-003	-5.5642e-004
3.300000e+002	8.2105e-003	-2.5907e-005	1.0464e-001	5.7435e-002	1.0332e-015	-7.3847e-002	6.3722e-002	-4.8520e-002	3.3259e-002	-1.9299e-002	7.0100e-003	3.5474e-003	-1.2419e-002	1.9696e-002	-2.5505e-002	3.0125e-002	-3.4200e-002
3.400000e+002	4.1011e-003	-1.3396e-005	8.0902e-002	9.2460e-002	1.2785e-015	-7.6381e-002	4.4436e-002	-1.7014e-002	-3.9807e-003	1.9293e-002	-2.9914e-002	3.6709e-002	-4.0393e-002	4.1562e-002	-4.0744e-002	3.8522e-002	-3.5537e-002
