Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12	el Psi 13	el Psi 14	el Psi 15	el Psi 16	el Psi 17
2.000000e+001	5.1796e-011	-1.4147e-014	7.4498e-014	-2.9561e-013	-4.4406e-025	1.4194e-012	-2.4586e-010	7.6226e-012	-2.7121e-012	2.5521e-012	-2.9407e-012	3.7243e-012	-5.0208e-012	7.1413e-012	-1.0769e-011	1.7706e-011	-3.4482e-011
3.000000e+001	4.1677e-010	-1.0966e-013	5.5243e-013	-2.1447e-012	-3.1929e-024	1.0147e-011	-1.7424e-009	5.3875e-011	-1.8987e-011	1.7718e-011	-2.0262e-011	2.5484e-011	-3.4133e-011	4.8252e-011	-7.2341e-011	1.1826e-010	-2.2901e-010
4.000000e+001	3.5435e-009	-8.9953e-013	4.3424e-012	-1.6509e-011	-2.4366e-023	7.7010e-011	-1.3113e-008	4.0441e-010	-1.4122e-010	1.3073e-010	-1.4843e-010	1.8544e-010	-2.4683e-010	3.4687e-010	-5.1712e-010	8.4078e-010	-1.6193e-009
5.000000e+001	2.8663e-008	-7.0072e-012	3.2343e-011	-1.2027e-010	-1.7591e-022	5.5273e-010	-9.3289e-008	2.8692e-009	-9.9226e-010	9.1079e-010	-1.0262e-009	1.2731e-009	-1.6834e-009	2.3510e-009	-3.4841e-009	5.6322e-009	-1.0785e-008
6.000000e+001	2.1965e-007	-5.1597e-011	2.2709e-010	-8.2486e-010	-1.1948e-021	3.7309e-009	-6.2379e-007	1.9129e-008	-6.5475e-009	5.9557e-009	-6.6559e-009	8.1952e-009	-1.0760e-008	1.4928e-008	-2.1981e-008	3.5315e-008	-6.7204e-008
7.000000e+001	1.5894e-006	-3.5788e-010	1.4972e-009	-5.3036e-009	-7.6029e-021	2.3583e-008	-3.9035e-006	1.1933e-007	-4.0394e-008	3.6388e-008	-4.0311e-008	4.9233e-008	-6.4154e-008	8.8363e-008	-1.2923e-007	2.0624e-007	-3.8986e-007
8.000000e+001	1.0822e-005	-2.3290e-009	9.2288e-009	-3.1822e-008	-4.5112e-020	1.3893e-007	-2.2747e-005	6.9303e-007	-2.3182e-007	2.0665e-007	-2.2677e-007	2.7455e-007	-3.5483e-007	4.8495e-007	-7.0397e-007	1.1154e-006	-2.0933e-006
9.000000e+001	6.9042e-005	-1.4156e-008	5.2913e-008	-1.7721e-007	-2.4822e-019	7.5854e-007	-1.2274e-004	3.7258e-006	-1.2302e-006	1.0843e-006	-1.1776e-006	1.4122e-006	-1.8089e-006	2.4514e-006	-3.5297e-006	5.5490e-006	-1.0332e-005
1.000000e+002	4.1081e-004	-7.9949e-008	2.8051e-007	-9.1019e-007	-1.2582e-018	3.8127e-006	-6.0905e-004	1.8414e-005	-5.9945e-006	5.2178e-006	-5.6034e-006	6.6497e-006	-8.4344e-006	1.1324e-005	-1.6160e-005	2.5185e-005	-4.6485e-005
1.100000e+002	2.2672e-003	-4.1694e-007	1.3653e-006	-4.2788e-006	-5.8302e-018	1.7503e-005	-2.7566e-003	8.2972e-005	-2.6592e-005	2.2829e-005	-2.4211e-005	2.8400e-005	-3.5631e-005	4.7343e-005	-6.6893e-005	1.0325e-004	-1.8872e-004
