Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12	el Psi 13	el Psi 14
2.000000e+001	1.3512e-015	3.0156e-005	1.4418e-014	3.7056e-032	-1.9539e-014	3.2189e-014	-5.4187e-014	9.2209e-014	-1.5930e-013	2.8196e-013	-5.1881e-013	1.0186e-012	-2.2607e-012	6.8400e-012
3.000000e+001	9.6665e-015	2.0845e-004	9.7213e-014	2.4402e-031	-1.2811e-013	2.0704e-013	-3.4318e-013	5.7618e-013	-9.8337e-013	1.7209e-012	-3.1329e-012	6.0886e-012	-1.3381e-011	4.0101e-011
4.000000e+001	6.9903e-014	1.4560e-003	6.6216e-013	1.6229e-030	-8.4831e-013	1.3445e-012	-2.1938e-012	3.6333e-012	-6.1247e-012	1.0596e-011	-1.9080e-011	3.6697e-011	-7.9845e-011	2.3698e-010
5.000000e+001	4.5090e-013	9.0331e-003	3.9931e-012	9.5256e-030	-4.9544e-012	7.6804e-012	-1.2311e-011	2.0073e-011	-3.3362e-011	5.6959e-011	-1.0129e-010	1.9251e-010	-4.1406e-010	1.2153e-009
6.000000e+001	2.5480e-012	4.8808e-002	2.0878e-011	4.8265e-029	-2.4958e-011	3.7702e-011	-5.9177e-011	9.4738e-011	-1.5484e-010	2.6027e-010	-4.5605e-010	8.5447e-010	-1.8127e-009	5.2497e-009
7.000000e+001	1.2348e-011	2.2435e-001	9.2292e-011	2.0546e-028	-1.0551e-010	1.5448e-010	-2.3638e-010	3.7004e-010	-5.9254e-010	9.7701e-010	-1.6808e-009	3.0941e-009	-6.4525e-009	1.8377e-008
8.000000e+001	1.3472e-011	1.8806e-001	6.0887e-011	1.0145e-028	-4.8913e-011	5.1184e-011	-5.3496e-011	5.0354e-011	-3.2643e-011	-1.9048e-011	1.5018e-010	-4.8120e-010	1.4113e-009	-5.1355e-009
9.000000e+001	1.4130e-011	9.9841e-002	2.3205e-012	-6.3783e-029	3.8587e-011	-9.0842e-011	1.7514e-010	-3.1667e-010	5.6041e-010	-9.9444e-010	1.8085e-009	-3.4736e-009	7.4830e-009	-2.1839e-008
1.000000e+002	2.2316e-011	4.0704e-002	-5.5964e-011	-2.2672e-028	1.2360e-010	-2.1569e-010	3.5337e-010	-5.6575e-010	9.0234e-010	-1.4551e-009	2.4132e-009	-4.2294e-009	8.2994e-009	-2.1982e-008
1.100000e+002	5.3585e-011	1.3836e-002	-1.4911e-010	-4.9523e-028	2.6265e-010	-4.0790e-010	6.0707e-010	-8.8784e-010	1.2924e-009	-1.8922e-009	2.8223e-009	-4.3829e-009	7.4488e-009	-1.6479e-008
1.200000e+002	1.6420e-010	4.1135e-003	-4.0169e-010	-1.2154e-027	6.3374e-010	-9.0958e-010	1.2614e-009	-1.7208e-009	2.3283e-009	-3.1434e-009	4.2624e-009	-5.8686e-009	8.4272e-009	-1.4100e-008
1.300000e+002	5.8247e-010	1.1049e-003	-1.2416e-009	-3.5215e-027	1.8138e-009	-2.4588e-009	3.2441e-009	-4.2202e-009	5.4429e-009	-6.9824e-009	8.9347e-009	-1.1445e-008	1.4787e-008	-1.9934e-008
1.400000e+002	2.2899e-009	2.7465e-004	-4.3188e-009	-1.1619e-026	5.9249e-009	-7.6748e-009	9.7442e-009	-1.2239e-008	1.5264e-008	-1.8940e-008	2.3416e-008	-2.8882e-008	3.5609e-008	-4.4148e-008
1.500000e+002	9.7195e-009	6.4412e-005	-1.6411e-008	-4.2142e-026	2.1303e-008	-2.6528e-008	3.2597e-008	-3.9763e-008	4.8256e-008	-5.8331e-008	7.0292e-008	-8.4507e-008	1.0143e-007	-1.2168e-007
1.600000e+002	4.3687e-008	1.4484e-005	-6.6560e-008	-1.6376e-025	8.2124e-008	-9.8659e-008	1.1770e-007	-1.3986e-007	1.6567e-007	-1.9571e-007	2.3069e-007	-2.7142e-007	3.1891e-007	-3.7434e-007
1.700000e+002	2.0467e-007	3.1679e-006	-2.8283e-007	-6.6834e-025	3.3266e-007	-3.8639e-007	4.4838e-007	-5.1995e-007	6.0220e-007	-6.9649e-007	8.0444e-007	-9.2805e-007	1.0696e-006	-1.2320e-006
1.800000e+002	9.8565e-007	6.8281e-007	-1.2395e-006	-2.8175e-024	1.3923e-006	-1.5657e-006	1.7694e-006	-2.0045e-006	2.2723e-006	-2.5755e-006	2.9179e-006	-3.3040e-006	3.7395e-006	-4.2310e-006
1.900000e+002	4.8184e-006	1.4689e-007	-5.5240e-006	-1.2087e-023	5.9310e-006	-6.4620e-006	7.1165e-006	-7.8804e-006	8.7486e-006	-9.7232e-006	1.0811e-005	-1.2022e-005	1.3368e-005	-1.4867e-005
2.000000e+002	2.3623e-005	3.1946e-008	-2.4701e-005	-5.2043e-023	2.5357e-005	-2.6772e-005	2.8736e-005	-3.1109e-005	3.3828e-005	-3.6870e-005	4.0238e-005	-4.3948e-005	4.8025e-005	-5.2504e-005
2.100000e+002	1.1478e-004	7.1176e-009	-1.0936e-004	-2.2178e-022	1.0730e-004	-1.0974e-004	1.1478e-004	-1.2145e-004	1.2932e-004	-1.3820e-004	1.4801e-004	-1.5875e-004	1.7044e-004	-1.8314e-004
2.200000e+002	5.4583e-004	1.6486e-009	-4.7289e-004	-9.2218e-022	4.4291e-004	-4.3848e-004	4.4653e-004	-4.6151e-004	4.8093e-004	-5.0363e-004	5.2903e-004	-5.5688e-004	5.8709e-004	-6.1968e-004
2.300000e+002	2.5072e-003	4.0360e-010	-1.9677e-003	-3.6836e-021	1.7557e-003	-1.6800e-003	1.6637e-003	-1.6777e-003	1.7091e-003	-1.7520e-003	1.8032e-003	-1.8610e-003	1.9246e-003	-1.9935e-003
2.400000e+002	1.0959e-002	1.0590e-010	-7.7467e-003	-1.3886e-020	6.5653e-003	-6.0576e-003	5.8224e-003	-5.7181e-003	5.6852e-003	-5.6954e-003	5.7340e-003	-5.7928e-003	5.8671e-003	-5.9540e-003
2.500000e+002	4.4798e-002	2.7919e-011	-2.8284e-002	-4.8357e-020	2.2662e-002	-2.0094e-002	1.8690e-002	-1.7828e-002	1.7254e-002	-1.6849e-002	1.6552e-002	-1.6327e-002	1.6154e-002	-1.6019e-002
2.600000e+002	1.6760e-001	-1.3556e-012	-9.3351e-002	-1.5136e-019	7.0229e-002	-5.9527e-002	5.3335e-002	-4.9203e-002	4.6162e-002	-4.3764e-002	4.1778e-002	-4.0072e-002	3.8568e-002	-3.7214e-002
2.700000e+002	1.8220e-001	-2.9428e-011	-5.9745e-002	-7.0563e-020	3.0515e-002	-1.7552e-002	9.7751e-003	-4.2706e-003	-1.4909e-005	3.5477e-003	-6.5663e-003	9.2071e-003	-1.1555e-002	1.3665e-002
