Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11
2.000000e+001	1.3878e-020	-4.2673e-020	6.8340e-020	-9.1935e-020	1.1429e-019	-1.3580e-019	1.5669e-019	-1.7709e-019	1.9712e-019	-2.1768e-019	2.4668e-019
3.000000e+001	9.5389e-020	-2.7593e-019	4.2993e-019	-5.6838e-019	6.9763e-019	-8.2066e-019	9.3909e-019	-1.0539e-018	1.1659e-018	-1.2805e-018	1.4437e-018
4.000000e+001	3.6852e-019	-9.5121e-019	1.4049e-018	-1.7940e-018	2.1459e-018	-2.4729e-018	2.7816e-018	-3.0760e-018	3.3591e-018	-3.6467e-018	4.0676e-018
5.000000e+001	1.6037e-018	-3.7226e-018	5.2295e-018	-6.4638e-018	7.5462e-018	-8.5286e-018	9.4384e-018	-1.0292e-017	1.1102e-017	-1.1920e-017	1.3159e-017
6.000000e+001	7.9069e-018	-1.6744e-017	2.2537e-017	-2.7096e-017	3.0992e-017	-3.4459e-017	3.7619e-017	-4.0544e-017	4.3287e-017	-4.6053e-017	5.0410e-017
7.000000e+001	4.3130e-017	-8.4194e-017	1.0915e-016	-1.2812e-016	1.4396e-016	-1.5782e-016	1.7029e-016	-1.8170e-016	1.9230e-016	-2.0300e-016	2.2059e-016
8.000000e+001	2.5527e-016	-4.6275e-016	5.7997e-016	-6.6619e-016	7.3675e-016	-7.9760e-016	8.5167e-016	-9.0068e-016	9.4581e-016	-9.9151e-016	1.0706e-015
9.000000e+001	1.6145e-015	-2.7323e-015	3.3192e-015	-3.7375e-015	4.0735e-015	-4.3593e-015	4.6106e-015	-4.8363e-015	5.0426e-015	-5.2529e-015	5.6385e-015
1.000000e+002	1.0774e-014	-1.7091e-014	2.0162e-014	-2.2284e-014	2.3958e-014	-2.5364e-014	2.6588e-014	-2.7678e-014	2.8668e-014	-2.9688e-014	3.1693e-014
1.100000e+002	7.5042e-014	-1.1192e-013	1.2840e-013	-1.3943e-013	1.4797e-013	-1.5506e-013	1.6118e-013	-1.6658e-013	1.7146e-013	-1.7657e-013	1.8753e-013
1.200000e+002	5.4042e-013	-7.5943e-013	8.4823e-013	-9.0554e-013	9.4914e-013	-9.8489e-013	1.0155e-012	-1.0423e-012	1.0664e-012	-1.0923e-012	1.1543e-012
1.300000e+002	3.9892e-012	-5.2903e-012	5.7569e-012	-6.0451e-012	6.2601e-012	-6.4344e-012	6.5821e-012	-6.7108e-012	6.8258e-012	-6.9557e-012	7.3157e-012
1.400000e+002	2.9940e-011	-3.7511e-011	3.9788e-011	-4.1109e-011	4.2070e-011	-4.2839e-011	4.3486e-011	-4.4046e-011	4.4546e-011	-4.5164e-011	4.7279e-011
1.500000e+002	2.2673e-010	-2.6850e-010	2.7769e-010	-2.8235e-010	2.8558e-010	-2.8813e-010	2.9026e-010	-2.9210e-010	2.9375e-010	-2.9633e-010	3.0877e-010
1.600000e+002	1.7194e-009	-1.9249e-009	1.9411e-009	-1.9423e-009	1.9418e-009	-1.9411e-009	1.9407e-009	-1.9403e-009	1.9403e-009	-1.9476e-009	2.0199e-009
1.700000e+002	1.2960e-008	-1.3711e-008	1.3479e-008	-1.3272e-008	1.3113e-008	-1.2988e-008	1.2885e-008	-1.2800e-008	1.2727e-008	-1.2710e-008	1.3121e-008
1.800000e+002	9.6340e-008	-9.6236e-008	9.2198e-008	-8.9312e-008	8.7192e-008	-8.5549e-008	8.4218e-008	-8.3104e-008	8.2156e-008	-8.1631e-008	8.3871e-008
1.900000e+002	7.0063e-007	-6.5995e-007	6.1576e-007	-5.8657e-007	5.6567e-007	-5.4967e-007	5.3681e-007	-5.2612e-007	5.1705e-007	-5.1104e-007	5.2252e-007
2.000000e+002	4.9415e-006	-4.3806e-006	3.9769e-006	-3.7232e-006	3.5453e-006	-3.4106e-006	3.3034e-006	-3.2149e-006	3.1400e-006	-3.0867e-006	3.1401e-006
2.100000e+002	3.3477e-005	-2.7856e-005	2.4576e-005	-2.2594e-005	2.1229e-005	-2.0209e-005	1.9405e-005	-1.8745e-005	1.8191e-005	-1.7780e-005	1.7991e-005
2.200000e+002	2.1550e-004	-1.6771e-004	1.4354e-004	-1.2945e-004	1.1992e-004	-1.1289e-004	1.0740e-004	-1.0294e-004	9.9209e-005	-9.6375e-005	9.6971e-005
2.300000e+002	1.3016e-003	-9.4289e-004	7.8112e-004	-6.8991e-004	6.2947e-004	-5.8547e-004	5.5145e-004	-5.2403e-004	5.0131e-004	-4.8378e-004	4.8379e-004
2.400000e+002	7.2642e-003	-4.8671e-003	3.8906e-003	-3.3587e-003	3.0134e-003	-2.7657e-003	2.5764e-003	-2.4253e-003	2.3011e-003	-2.2044e-003	2.1895e-003
2.500000e+002	3.6759e-002	-2.2577e-002	1.7338e-002	-1.4588e-002	1.2842e-002	-1.1610e-002	1.0681e-002	-9.9470e-003	9.3495e-003	-8.8819e-003	8.7537e-003
2.600000e+002	1.6450e-001	-9.1444e-002	6.7034e-002	-5.4730e-002	4.7118e-002	-4.1848e-002	3.7933e-002	-3.4882e-002	3.2424e-002	-3.0498e-002	2.9781e-002
