Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12
2.000000e+001	1.7012e-018	-5.6292e-018	9.8072e-018	-1.3608e-017	1.7187e-017	-2.0619e-017	2.3944e-017	-2.7181e-017	3.0345e-017	-3.3448e-017	3.6608e-017	-4.0942e-017
3.000000e+001	1.4506e-017	-4.4853e-017	7.5517e-017	-1.0285e-016	1.2827e-016	-1.5243e-016	1.7565e-016	-1.9813e-016	2.1998e-016	-2.4130e-016	2.6296e-016	-2.9293e-016
4.000000e+001	1.3270e-016	-3.8487e-016	6.2744e-016	-8.3972e-016	1.0349e-015	-1.2188e-015	1.3943e-015	-1.5633e-015	1.7267e-015	-1.8855e-015	2.0465e-015	-2.2712e-015
5.000000e+001	1.1803e-015	-3.2053e-015	5.0550e-015	-6.6443e-015	8.0888e-015	-9.4383e-015	1.0718e-014	-1.1942e-014	1.3120e-014	-1.4260e-014	1.5413e-014	-1.7040e-014
6.000000e+001	1.0185e-014	-2.5844e-014	3.9385e-014	-5.0810e-014	6.1076e-014	-7.0585e-014	7.9540e-014	-8.8056e-014	9.6209e-014	-1.0406e-013	1.1199e-013	-1.2331e-013
7.000000e+001	8.5197e-014	-2.0152e-013	2.9638e-013	-3.7503e-013	4.4491e-013	-5.0909e-013	5.6910e-013	-6.2583e-013	6.7984e-013	-7.3161e-013	7.8382e-013	-8.5950e-013
8.000000e+001	6.9005e-013	-1.5178e-012	2.1515e-012	-2.6682e-012	3.1224e-012	-3.5361e-012	3.9201e-012	-4.2809e-012	4.6227e-012	-4.9486e-012	5.2769e-012	-5.7614e-012
9.000000e+001	5.4057e-012	-1.1028e-011	1.5045e-011	-1.8272e-011	2.1081e-011	-2.3617e-011	2.5956e-011	-2.8140e-011	3.0197e-011	-3.2150e-011	3.4116e-011	-3.7080e-011
1.000000e+002	4.0911e-011	-7.7183e-011	1.0119e-010	-1.2025e-010	1.3669e-010	-1.5142e-010	1.6492e-010	-1.7745e-010	1.8918e-010	-2.0026e-010	2.1143e-010	-2.2872e-010
1.100000e+002	2.9873e-010	-5.1961e-010	6.5356e-010	-7.5920e-010	8.4971e-010	-9.3031e-010	1.0037e-009	-1.0714e-009	1.1345e-009	-1.1937e-009	1.2536e-009	-1.3494e-009
1.200000e+002	2.1018e-009	-3.3593e-009	4.0462e-009	-4.5897e-009	5.0542e-009	-5.4659e-009	5.8387e-009	-6.1809e-009	6.4981e-009	-6.7949e-009	7.0955e-009	-7.5982e-009
1.300000e+002	1.4227e-008	-2.0818e-008	2.3964e-008	-2.6514e-008	2.8704e-008	-3.0643e-008	3.2394e-008	-3.3994e-008	3.5470e-008	-3.6845e-008	3.8249e-008	-4.0735e-008
1.400000e+002	9.2496e-008	-1.2343e-007	1.3548e-007	-1.4603e-007	1.5528e-007	-1.6353e-007	1.7098e-007	-1.7778e-007	1.8403e-007	-1.8984e-007	1.9584e-007	-2.0737e-007
