Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12	el Psi 13
2.000000e+001	8.0612e-017	-9.6419e-017	2.7629e-016	-5.1861e-016	7.0576e-016	-7.8364e-016	8.0549e-016	-8.1542e-016	8.2735e-016	-8.4366e-016	8.6418e-016	-8.9411e-016	9.6699e-016
3.000000e+001	6.8146e-016	-7.6463e-016	2.1179e-015	-3.9064e-015	5.2531e-015	-5.7776e-015	5.8916e-015	-5.9239e-015	5.9753e-015	-6.0618e-015	6.1810e-015	-6.3687e-015	6.8608e-015
4.000000e+001	6.1669e-015	-6.5134e-015	1.7470e-014	-3.1697e-014	4.2146e-014	-4.5940e-014	4.6496e-014	-4.6451e-014	4.6596e-014	-4.7041e-014	4.7759e-014	-4.9018e-014	5.2612e-014
5.000000e+001	5.4093e-014	-5.3679e-014	1.3928e-013	-2.4844e-013	3.2650e-013	-3.5262e-013	3.5411e-013	-3.5144e-013	3.5052e-013	-3.5209e-013	3.5587e-013	-3.6379e-013	3.8897e-013
6.000000e+001	4.5883e-013	-4.2684e-013	1.0701e-012	-1.8751e-012	2.4347e-012	-2.6042e-012	2.5941e-012	-2.5568e-012	2.5350e-012	-2.5331e-012	2.5484e-012	-2.5941e-012	2.7626e-012
7.000000e+001	3.7590e-012	-3.2702e-012	7.9100e-012	-1.3608e-011	1.7447e-011	-1.8475e-011	1.8249e-011	-1.7858e-011	1.7595e-011	-1.7486e-011	1.7507e-011	-1.7743e-011	1.8817e-011
8.000000e+001	2.9707e-011	-2.4104e-011	5.6171e-011	-9.4792e-011	1.1994e-010	-1.2569e-010	1.2306e-010	-1.1952e-010	1.1700e-010	-1.1561e-010	1.1516e-010	-1.1618e-010	1.2268e-010
9.000000e+001	2.2614e-010	-1.7066e-010	3.8252e-010	-6.3269e-010	7.8961e-010	-8.1838e-010	7.9393e-010	-7.6502e-010	7.4378e-010	-7.3058e-010	7.2387e-010	-7.2678e-010	7.6393e-010
1.000000e+002	1.6558e-009	-1.1586e-009	2.4933e-009	-4.0381e-009	4.9674e-009	-5.0894e-009	4.8898e-009	-4.6729e-009	4.5108e-009	-4.4029e-009	4.3381e-009	-4.3336e-009	4.5333e-009
1.100000e+002	1.1642e-008	-7.5270e-009	1.5523e-008	-2.4592e-008	2.9795e-008	-3.0160e-008	2.8683e-008	-2.7173e-008	2.6033e-008	-2.5243e-008	2.4725e-008	-2.4568e-008	2.5570e-008
1.200000e+002	7.8459e-008	-4.6701e-008	9.2097e-008	-1.4255e-007	1.6997e-007	-1.6987e-007	1.5982e-007	-1.5002e-007	1.4259e-007	-1.3729e-007	1.3364e-007	-1.3205e-007	1.3670e-007
1.300000e+002	5.0587e-007	-2.7607e-007	5.1935e-007	-7.8436e-007	9.1960e-007	-9.0670e-007	8.4343e-007	-7.8404e-007	7.3891e-007	-7.0620e-007	6.8288e-007	-6.7070e-007	6.9039e-007
1.400000e+002	3.1137e-006	-1.5509e-006	2.7758e-006	-4.0846e-006	4.7038e-006	-4.5717e-006	4.2015e-006	-3.8654e-006	3.6103e-006	-3.4233e-006	3.2869e-006	-3.2078e-006	3.2819e-006
1.500000e+002	1.8253e-005	-8.2558e-006	1.4015e-005	-2.0061e-005	2.2665e-005	-2.1695e-005	1.9682e-005	-1.7908e-005	1.6566e-005	-1.5575e-005	1.4842e-005	-1.4386e-005	1.4623e-005
1.600000e+002	1.0163e-004	-4.1506e-005	6.6606e-005	-9.2565e-005	1.0247e-004	-9.6481e-005	8.6325e-005	-7.7615e-005	7.1059e-005	-6.6202e-005	6.2576e-005	-6.0207e-005	6.0771e-005
1.700000e+002	5.3595e-004	-1.9636e-004	2.9668e-004	-3.9944e-004	4.3255e-004	-4.0014e-004	3.5270e-004	-3.1306e-004	2.8342e-004	-2.6145e-004	2.4496e-004	-2.3381e-004	2.3420e-004
1.800000e+002	2.6677e-003	-8.7035e-004	1.2326e-003	-1.6036e-003	1.6956e-003	-1.5387e-003	1.3343e-003	-1.1679e-003	1.0445e-003	-9.5316e-004	8.8445e-004	-8.3681e-004	8.3125e-004
1.900000e+002	1.2487e-002	-3.5967e-003	4.7484e-003	-5.9514e-003	6.1310e-003	-5.4479e-003	4.6407e-003	-3.9995e-003	3.5290e-003	-3.1824e-003	2.9216e-003	-2.7375e-003	2.6943e-003
2.000000e+002	5.4716e-002	-1.3777e-002	1.6847e-002	-2.0266e-002	2.0286e-002	-1.7610e-002	1.4706e-002	-1.2458e-002	1.0828e-002	-9.6353e-003	8.7406e-003	-8.1012e-003	7.8905e-003
2.100000e+002	2.2325e-001	-4.8549e-002	5.4554e-002	-6.2696e-002	6.0771e-002	-5.1391e-002	4.1963e-002	-3.4864e-002	2.9790e-002	-2.6109e-002	2.3363e-002	-2.1386e-002	2.0582e-002
2.200000e+002	1.8065e-001	-1.2000e-002	-2.3347e-003	1.1910e-002	-1.7620e-002	1.8972e-002	-1.8272e-002	1.7147e-002	-1.6102e-002	1.5226e-002	-1.4510e-002	1.4012e-002	-1.4152e-002
2.300000e+002	1.0396e-001	3.3093e-002	-5.6942e-002	7.3300e-002	-7.4883e-002	6.5251e-002	-5.4243e-002	4.5540e-002	-3.9130e-002	3.4376e-002	-3.0765e-002	2.8121e-002	-2.6991e-002
2.400000e+002	5.1422e-002	6.8552e-002	-7.9888e-002	8.4204e-002	-7.3874e-002	5.6163e-002	-4.1014e-002	3.0371e-002	-2.3063e-002	1.7906e-002	-1.4134e-002	1.1342e-002	-9.4309e-003
2.500000e+002	2.4699e-002	1.0256e-001	-7.9974e-002	5.9835e-002	-3.5314e-002	1.4575e-002	-1.6521e-003	-5.6529e-003	9.8216e-003	-1.2285e-002	1.3792e-002	-1.4835e-002	1.6205e-002
2.600000e+002	1.4881e-002	1.5308e-001	-7.1755e-002	2.1311e-002	1.4757e-002	-3.2789e-002	3.8461e-002	-3.8826e-002	3.7335e-002	-3.5302e-002	3.3211e-002	-3.1425e-002	3.0918e-002
2.700000e+002	8.0363e-003	1.5408e-001	-2.1312e-002	-3.2582e-002	5.2867e-002	-5.1268e-002	4.2442e-002	-3.3601e-002	2.6337e-002	-2.0595e-002	1.6052e-002	-1.2478e-002	9.8065e-003
