Y (ang)	Ec (eV)	Ev (eV)	E (V/cm)	Ef (eV)	n (cm-3)	p (cm-3)	Nd - Na (cm-3)
0.000000e+000	-6.40000000e+000	-9.80000000e+000	3.74646805e+007	-7.00000000e+000	1.8691e+008	1.0000e-010	0.0000e+000
1.000000e+001	-2.09353195e+000	-6.19353195e+000	1.16891584e+007	0.00000000e+000	1.2309e+021	1.0000e-010	-1.3848e+020
2.000000e+001	-9.24616112e-001	-5.02461611e+000	4.61594573e+006	0.00000000e+000	3.6157e+020	1.0000e-010	0.0000e+000
3.000000e+001	-4.63021539e-001	-4.56302154e+000	2.10179316e+006	0.00000000e+000	1.2852e+020	1.0000e-010	0.0000e+000
4.000000e+001	-2.52842223e-001	-4.35284222e+000	1.07762733e+006	0.00000000e+000	5.2354e+019	1.0000e-010	0.0000e+000
5.000000e+001	-1.45079490e-001	-4.24507949e+000	6.23293307e+005	0.00000000e+000	2.3225e+019	1.0000e-010	0.0000e+000
6.000000e+001	-8.27501591e-002	-4.18275016e+000	4.11786202e+005	0.00000000e+000	1.0812e+019	1.0000e-010	0.0000e+000
7.000000e+001	-4.15715389e-002	-4.14157154e+000	3.12031070e+005	0.00000000e+000	5.0993e+018	1.0000e-010	0.0000e+000
8.000000e+001	-1.03684319e-002	-4.11036843e+000	2.66409156e+005	0.00000000e+000	2.3321e+018	1.0000e-010	0.0000e+000
9.000000e+001	1.62724837e-002	-4.08372752e+000	2.46448900e+005	0.00000000e+000	1.0203e+018	1.0000e-010	0.0000e+000
1.000000e+002	4.09173737e-002	-4.05908263e+000	2.38014882e+005	0.00000000e+000	4.3114e+017	1.0000e-010	0.0000e+000
1.100000e+002	6.47188619e-002	-4.03528114e+000	2.34521155e+005	0.00000000e+000	1.7859e+017	1.0000e-010	0.0000e+000
1.200000e+002	8.81709774e-002	-4.01182902e+000	2.33087509e+005	0.00000000e+000	7.3286e+016	1.0000e-010	0.0000e+000
1.300000e+002	1.11479728e-001	-3.98852027e+000	2.32498890e+005	0.00000000e+000	3.0089e+016	1.0000e-010	0.0000e+000
1.400000e+002	1.34729617e-001	-3.96527038e+000	2.32259418e+005	0.00000000e+000	1.2241e+016	1.0000e-010	0.0000e+000
