Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11
2.000000e+001	1.4962e-026	-2.0322e-025	4.7754e-025	-7.5075e-025	1.0205e-024	-1.2882e-024	1.5551e-024	-1.8218e-024	2.0889e-024	-2.3653e-024	2.7418e-024
3.000000e+001	1.4547e-025	-1.8206e-024	4.1492e-024	-6.4152e-024	8.6221e-024	-1.0792e-023	1.2939e-023	-1.5072e-023	1.7197e-023	-1.9389e-023	2.2387e-023
4.000000e+001	1.5140e-024	-1.7543e-023	3.8845e-023	-5.9126e-023	7.8628e-023	-9.7632e-023	1.1631e-022	-1.3475e-022	1.5305e-022	-1.7186e-022	1.9770e-022
5.000000e+001	1.5447e-023	-1.6547e-022	3.5578e-022	-5.3294e-022	7.0108e-022	-8.6345e-022	1.0219e-021	-1.1775e-021	1.3311e-021	-1.4886e-021	1.7059e-021
6.000000e+001	1.5431e-022	-1.5253e-021	3.1824e-021	-4.6896e-021	6.1011e-021	-7.4514e-021	8.7596e-021	-1.0037e-020	1.1292e-020	-1.2574e-020	1.4355e-020
7.000000e+001	1.5085e-021	-1.3734e-020	2.7785e-020	-4.0262e-020	5.1787e-020	-6.2707e-020	7.3209e-020	-8.3403e-020	9.3367e-020	-1.0352e-019	1.1771e-019
8.000000e+001	1.4424e-020	-1.2072e-019	2.3663e-019	-3.3703e-019	4.2847e-019	-5.1426e-019	5.9615e-019	-6.7515e-019	7.5198e-019	-8.3007e-019	9.3997e-019
9.000000e+001	1.3484e-019	-1.0353e-018	1.9646e-018	-2.7490e-018	3.4531e-018	-4.1071e-018	4.7266e-018	-5.3204e-018	5.8950e-018	-6.4774e-018	7.3042e-018
1.000000e+002	1.2317e-018	-8.6568e-018	1.5888e-017	-2.1832e-017	2.7087e-017	-3.1918e-017	3.6459e-017	-4.0784e-017	4.4946e-017	-4.9153e-017	5.5188e-017
1.100000e+002	1.0987e-017	-7.0527e-017	1.2509e-016	-1.6870e-016	2.0666e-016	-2.4119e-016	2.7339e-016	-3.0385e-016	3.3302e-016	-3.6242e-016	4.0511e-016
1.200000e+002	9.5655e-017	-5.5944e-016	9.5790e-016	-1.2672e-015	1.5322e-015	-1.7707e-015	1.9911e-015	-2.1984e-015	2.3957e-015	-2.5942e-015	2.8864e-015
1.300000e+002	8.1229e-016	-4.3174e-015	7.1295e-015	-9.2466e-015	1.1031e-014	-1.2618e-014	1.4073e-014	-1.5432e-014	1.6718e-014	-1.8010e-014	1.9944e-014
1.400000e+002	6.7237e-015	-3.2391e-014	5.1529e-014	-6.5477e-014	7.7031e-014	-8.7194e-014	9.6430e-014	-1.0499e-013	1.1305e-013	-1.2114e-013	1.3349e-013
1.500000e+002	5.4212e-014	-2.3604e-013	3.6132e-013	-4.4954e-013	5.2131e-013	-5.8371e-013	6.3992e-013	-6.9168e-013	7.4010e-013	-7.8866e-013	8.6468e-013
1.600000e+002	4.2547e-013	-1.6692e-012	2.4556e-012	-2.9892e-012	3.4154e-012	-3.7814e-012	4.1082e-012	-4.4069e-012	4.6848e-012	-4.9637e-012	5.4136e-012
1.700000e+002	3.2477e-012	-1.1444e-011	1.6158e-011	-1.9231e-011	2.1637e-011	-2.3678e-011	2.5484e-011	-2.7123e-011	2.8640e-011	-3.0165e-011	3.2719e-011
1.800000e+002	2.4091e-011	-7.5988e-011	1.0283e-010	-1.1955e-010	1.3238e-010	-1.4313e-010	1.5255e-010	-1.6105e-010	1.6886e-010	-1.7676e-010	1.9065e-010
1.900000e+002	1.7353e-010	-4.8812e-010	6.3209e-010	-7.1728e-010	7.8121e-010	-8.3409e-010	8.8006e-010	-9.2122e-010	9.5889e-010	-9.9731e-010	1.0693e-009
2.000000e+002	1.2125e-009	-3.0298e-009	3.7483e-009	-4.1476e-009	4.4402e-009	-4.6791e-009	4.8853e-009	-5.0688e-009	5.2360e-009	-5.4095e-009	5.7645e-009
2.100000e+002	8.2100e-009	-1.8149e-008	2.1412e-008	-2.3080e-008	2.4268e-008	-2.5228e-008	2.6052e-008	-2.6782e-008	2.7447e-008	-2.8158e-008	2.9814e-008
2.200000e+002	5.3819e-008	-1.0477e-007	1.1765e-007	-1.2339e-007	1.2734e-007	-1.3050e-007	1.3322e-007	-1.3564e-007	1.3786e-007	-1.4040e-007	1.4766e-007
2.300000e+002	3.4115e-007	-5.8200e-007	6.2073e-007	-6.3269e-007	6.4026e-007	-6.4646e-007	6.5203e-007	-6.5720e-007	6.6214e-007	-6.6918e-007	6.9880e-007
2.400000e+002	2.0886e-006	-3.1059e-006	3.1391e-006	-3.1052e-006	3.0784e-006	-3.0600e-006	3.0476e-006	-3.0392e-006	3.0341e-006	-3.0417e-006	3.1528e-006
2.500000e+002	1.2333e-005	-1.5895e-005	1.5185e-005	-1.4556e-005	1.4122e-005	-1.3808e-005	1.3570e-005	-1.3382e-005	1.3231e-005	-1.3151e-005	1.3525e-005
2.600000e+002	7.0145e-005	-7.7859e-005	7.0104e-005	-6.5017e-005	6.1657e-005	-5.9247e-005	5.7410e-005	-5.5948e-005	5.4751e-005	-5.3930e-005	5.5001e-005
2.700000e+002	3.8366e-004	-3.6422e-004	3.0813e-004	-2.7596e-004	2.5547e-004	-2.4100e-004	2.3006e-004	-2.2139e-004	2.1431e-004	-2.0907e-004	2.1134e-004
2.800000e+002	2.0146e-003	-1.6232e-003	1.2858e-003	-1.1097e-003	1.0013e-003	-9.2625e-004	8.7022e-004	-8.2626e-004	7.9057e-004	-7.6335e-004	7.6432e-004
2.900000e+002	1.0137e-002	-6.8738e-003	5.0780e-003	-4.2132e-003	3.6991e-003	-3.3507e-003	3.0947e-003	-2.8963e-003	2.7368e-003	-2.6134e-003	2.5901e-003
