Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12
2.000000e+001	9.4154e-022	-6.6562e-021	1.2723e-020	-1.8151e-020	2.3210e-020	-2.8038e-020	3.2707e-020	-3.7259e-020	4.1720e-020	-4.6144e-020	5.1233e-020	-6.0047e-020
3.000000e+001	8.4225e-021	-5.4929e-020	1.0180e-019	-1.4274e-019	1.8037e-019	-2.1593e-019	2.5007e-019	-2.8314e-019	3.1538e-019	-3.4722e-019	3.8392e-019	-4.4817e-019
4.000000e+001	8.1953e-020	-4.9588e-019	8.9307e-019	-1.2323e-018	1.5402e-018	-1.8285e-018	2.1034e-018	-2.3682e-018	2.6251e-018	-2.8779e-018	3.1699e-018	-3.6868e-018
5.000000e+001	7.8850e-019	-4.4234e-018	7.7393e-018	-1.0508e-017	1.2988e-017	-1.5290e-017	1.7469e-017	-1.9557e-017	2.1573e-017	-2.3549e-017	2.5839e-017	-2.9939e-017
6.000000e+001	7.4813e-018	-3.8866e-017	6.6035e-017	-8.8199e-017	1.0779e-016	-1.2581e-016	1.4275e-016	-1.5889e-016	1.7440e-016	-1.8954e-016	2.0716e-016	-2.3913e-016
7.000000e+001	6.9875e-017	-3.3574e-016	5.5363e-016	-7.2719e-016	8.7857e-016	-1.0165e-015	1.1453e-015	-1.2673e-015	1.3840e-015	-1.4975e-015	1.6301e-015	-1.8743e-015
8.000000e+001	6.4127e-016	-2.8456e-015	4.5514e-015	-5.8770e-015	7.0176e-015	-8.0474e-015	9.0019e-015	-9.9009e-015	1.0756e-014	-1.1586e-014	1.2561e-014	-1.4386e-014
9.000000e+001	5.7714e-015	-2.3612e-014	3.6608e-014	-4.6451e-014	5.4804e-014	-6.2276e-014	6.9152e-014	-7.5589e-014	8.1687e-014	-8.7577e-014	9.4549e-014	-1.0785e-013
1.000000e+002	5.0835e-014	-1.9139e-013	2.8739e-013	-3.5820e-013	4.1744e-013	-4.6993e-013	5.1788e-013	-5.6252e-013	6.0460e-013	-6.4510e-013	6.9347e-013	-7.8772e-013
1.100000e+002	4.3725e-013	-1.5116e-012	2.1967e-012	-2.6879e-012	3.0930e-012	-3.4485e-012	3.7709e-012	-4.0693e-012	4.3493e-012	-4.6179e-012	4.9422e-012	-5.5898e-012
1.200000e+002	3.6641e-012	-1.1604e-011	1.6302e-011	-1.9572e-011	2.2229e-011	-2.4538e-011	2.6618e-011	-2.8532e-011	3.0319e-011	-3.2028e-011	3.4121e-011	-3.8421e-011
