V	C (Fcm-2)	Initcharge (cm-2)	Finalcharge (cm-2)	ns Total (cm-2)	ps Total (cm-2)
-9.000e+000	4.8034e-017	-9.3428e+000	-6.3447e+000	6.3476e+000	5.2500e-015
-8.990e+000	4.8034e-017	-9.3428e+000	-6.3447e+000	6.3476e+000	5.2500e-015
-8.980e+000	4.8034e-017	-9.3428e+000	-6.3447e+000	6.3476e+000	5.2500e-015
-8.970e+000	4.8034e-017	-9.3428e+000	-6.3447e+000	6.3476e+000	5.2500e-015
-8.960e+000	4.8034e-017	-9.3428e+000	-6.3447e+000	6.3476e+000	5.2500e-015
-8.950e+000	4.8034e-017	-9.3428e+000	-6.3447e+000	6.3476e+000	5.2500e-015
-8.940e+000	4.8034e-017	-9.3428e+000	-6.3447e+000	6.3476e+000	5.2500e-015
-8.930e+000	4.8034e-017	-9.3428e+000	-6.3447e+000	6.3476e+000	5.2500e-015
-8.920e+000	4.8034e-017	-9.3428e+000	-6.3447e+000	6.3476e+000	5.2500e-015
-8.910e+000	4.8034e-017	-9.3428e+000	-6.3447e+000	6.3476e+000	5.2500e-015
-8.900e+000	4.8034e-017	-9.3428e+000	-6.3447e+000	6.3476e+000	5.2500e-015
-8.890e+000	4.8034e-017	-9.3428e+000	-6.3447e+000	6.3476e+000	5.2500e-015
-8.880e+000	4.8034e-017	-9.3428e+000	-6.3447e+000	6.3476e+000	5.2500e-015
-8.870e+000	4.8034e-017	-9.3428e+000	-6.3447e+000	6.3476e+000	5.2500e-015
-8.860e+000	4.8034e-017	-9.3428e+000	-6.3447e+000	6.3476e+000	5.2500e-015
-8.850e+000	4.8034e-017	-9.3428e+000	-6.3447e+000	6.3476e+000	5.2500e-015
-8.840e+000	4.8034e-017	-9.3428e+000	-6.3447e+000	6.3476e+000	5.2500e-015
-8.830e+000	4.8034e-017	-9.3428e+000	-6.3447e+000	6.3476e+000	5.2500e-015
-8.820e+000	4.8034e-017	-9.3428e+000	-6.3447e+000	6.3476e+000	5.2500e-015
-8.810e+000	4.8034e-017	-9.3428e+000	-6.3447e+000	6.3476e+000	5.2500e-015
-8.800e+000	4.8034e-017	-9.3428e+000	-6.3447e+000	6.3476e+000	5.2500e-015
-8.790e+000	4.8034e-017	-9.3428e+000	-6.3447e+000	6.3476e+000	5.2500e-015
-8.780e+000	4.8034e-017	-9.3428e+000	-6.3447e+000	6.3476e+000	5.2500e-015
-8.770e+000	4.8034e-017	-9.3428e+000	-6.3447e+000	6.3476e+000	5.2500e-015
-8.760e+000	4.8034e-017	-9.3428e+000	-6.3447e+000	6.3476e+000	5.2500e-015
