Y (ang)	Ec (eV)	Ev (eV)	E (V/cm)	Ef (eV)	n (cm-3)	p (cm-3)	Nd - Na (cm-3)
0.000000e+000	-6.40000000e+000	-9.80000000e+000	3.74298105e+007	-7.00000000e+000	1.8691e+008	1.0000e-010	0.0000e+000
1.000000e+001	-2.09701895e+000	-6.19701895e+000	1.15931774e+007	0.00000000e+000	1.2340e+021	1.0000e-010	-1.3848e+020
2.000000e+001	-9.19034545e-001	-5.04236788e+000	4.49258017e+006	0.00000000e+000	3.5831e+020	1.0000e-010	-4.8714e+018
3.000000e+001	-4.51109861e-001	-4.59777653e+000	1.97819592e+006	0.00000000e+000	1.2362e+020	1.0000e-010	-4.8879e+018
4.000000e+001	-2.34623602e-001	-4.40462360e+000	9.63826078e+005	0.00000000e+000	4.6900e+019	1.0000e-010	-4.9043e+018
5.000000e+001	-1.19574328e-001	-4.31290766e+000	5.21767794e+005	0.00000000e+000	1.7640e+019	1.0000e-010	-4.9208e+018
6.000000e+001	-4.87308815e-002	-4.26539755e+000	3.08658357e+005	0.00000000e+000	5.9315e+018	1.0000e-010	-4.9373e+018
7.000000e+001	-1.11198379e-001	-4.21119838e+000	4.74847836e+005	0.00000000e+000	1.5955e+019	1.0000e-010	2.4522e+019
8.000000e+001	-6.37135955e-002	-4.16371360e+000	3.20327550e+005	0.00000000e+000	7.8989e+018	1.0000e-010	0.0000e+000
9.000000e+001	-3.16808405e-002	-4.13168084e+000	2.40719909e+005	0.00000000e+000	4.0694e+018	1.0000e-010	0.0000e+000
1.000000e+002	-7.60884961e-003	-4.10760885e+000	1.98572397e+005	0.00000000e+000	2.1545e+018	1.0000e-010	0.0000e+000
1.100000e+002	1.22483901e-002	-4.08775161e+000	1.75771777e+005	0.00000000e+000	1.1655e+018	1.0000e-010	0.0000e+000
1.200000e+002	2.98255678e-002	-4.07017443e+000	1.63235473e+005	0.00000000e+000	6.4084e+017	1.0000e-010	0.0000e+000
1.300000e+002	4.61491151e-002	-4.05385088e+000	1.56265773e+005	0.00000000e+000	3.5628e+017	1.0000e-010	0.0000e+000
1.400000e+002	6.17756924e-002	-4.03822431e+000	1.52363499e+005	0.00000000e+000	1.9948e+017	1.0000e-010	0.0000e+000
1.500000e+002	7.70120423e-002	-4.02298796e+000	1.50169324e+005	0.00000000e+000	1.1216e+017	1.0000e-010	0.0000e+000
1.600000e+002	9.20289747e-002	-4.00797103e+000	1.48932489e+005	0.00000000e+000	6.3225e+016	1.0000e-010	0.0000e+000
1.700000e+002	1.06922224e-001	-3.99307778e+000	1.48230392e+005	0.00000000e+000	3.5890e+016	1.0000e-010	0.0000e+000
1.800000e+002	1.21745263e-001	-3.97825474e+000	1.47834679e+005	0.00000000e+000	2.0228e+016	1.0000e-010	0.0000e+000
1.900000e+002	1.36528731e-001	-3.96347127e+000	1.47611306e+005	0.00000000e+000	1.1418e+016	1.0000e-010	0.0000e+000
2.000000e+002	1.51289861e-001	-3.94871014e+000	1.47485108e+005	0.00000000e+000	6.4511e+015	1.0000e-010	0.0000e+000
2.100000e+002	1.66038372e-001	-3.93396163e+000	1.47413775e+005	0.00000000e+000	3.6464e+015	1.0000e-010	0.0000e+000
2.200000e+002	1.80779750e-001	-3.91922025e+000	1.47373444e+005	0.00000000e+000	2.0617e+015	1.0000e-010	0.0000e+000
2.300000e+002	1.95517094e-001	-3.90448291e+000	1.47350637e+005	0.00000000e+000	1.1659e+015	1.0000e-010	0.0000e+000
2.400000e+002	2.10252158e-001	-3.88974784e+000	1.47337738e+005	0.00000000e+000	6.5934e+014	1.0000e-010	0.0000e+000
2.500000e+002	2.24985932e-001	-3.87501407e+000	1.47330444e+005	0.00000000e+000	3.7290e+014	1.0000e-010	0.0000e+000
2.600000e+002	-3.20281024e-001	-3.72028102e+000	1.36669341e+006	0.00000000e+000	7.4263e+019	1.0000e-010	1.3848e+020
2.700000e+002	-1.83611683e-001	-3.58361168e+000	7.42164719e+005	0.00000000e+000	3.2788e+019	1.0000e-010	0.0000e+000
2.800000e+002	-1.09395212e-001	-3.50939521e+000	4.44973790e+005	0.00000000e+000	1.5603e+019	1.0000e-010	0.0000e+000
2.900000e+002	-6.48978325e-002	-3.46489783e+000	2.91318596e+005	0.00000000e+000	8.0669e+018	1.0000e-010	0.0000e+000
3.000000e+002	-3.57659728e-002	-3.43576597e+000	2.06028535e+005	0.00000000e+000	4.4777e+018	1.0000e-010	0.0000e+000
3.100000e+002	-1.51631194e-002	-3.41516312e+000	1.55248278e+005	0.00000000e+000	2.6660e+018	1.0000e-010	0.0000e+000
