Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4
2.000000e+001	1.4446e-015	-7.8902e-015	2.5368e-014	-7.0599e-014
3.000000e+001	2.6953e-015	-1.4340e-014	4.5331e-014	-1.2450e-013
4.000000e+001	6.1066e-015	-3.1591e-014	9.8054e-014	-2.6547e-013
5.000000e+001	1.5493e-014	-7.7867e-014	2.3716e-013	-6.3263e-013
6.000000e+001	4.9335e-014	-2.4175e-013	7.2427e-013	-1.9071e-012
7.000000e+001	1.5191e-013	-7.2643e-013	2.1421e-012	-5.5712e-012
8.000000e+001	4.5297e-013	-2.1120e-012	6.1268e-012	-1.5732e-011
9.000000e+001	1.3082e-012	-5.9412e-012	1.6944e-011	-4.2932e-011
1.000000e+002	3.6596e-012	-1.6172e-011	4.5307e-011	-1.1321e-010
1.100000e+002	9.9184e-012	-4.2596e-011	1.1714e-010	-2.8849e-010
1.200000e+002	2.6049e-011	-1.0859e-010	2.9290e-010	-7.1042e-010
1.300000e+002	6.6312e-011	-2.6798e-010	7.0831e-010	-1.6908e-009
1.400000e+002	1.6368e-010	-6.4037e-010	1.6570e-009	-3.8900e-009
1.500000e+002	3.9190e-010	-1.4822e-009	3.7511e-009	-8.6532e-009
1.600000e+002	9.1062e-010	-3.3245e-009	8.2200e-009	-1.8617e-008
1.700000e+002	2.0547e-009	-7.2293e-009	1.7445e-008	-3.8753e-008
1.800000e+002	4.5051e-009	-1.5251e-008	3.5872e-008	-7.8091e-008
1.900000e+002	9.6063e-009	-3.1234e-008	7.1525e-008	-1.5242e-007
2.000000e+002	1.9938e-008	-6.2153e-008	1.3839e-007	-2.8836e-007
2.100000e+002	4.0326e-008	-1.2029e-007	2.6007e-007	-5.2926e-007
2.200000e+002	7.9571e-008	-2.2671e-007	4.7522e-007	-9.4341e-007
2.300000e+002	1.5340e-007	-4.1660e-007	8.4547e-007	-1.6352e-006
2.400000e+002	2.8935e-007	-7.4761e-007	1.4667e-006	-2.7598e-006
2.500000e+002	5.3500e-007	-1.3124e-006	2.4853e-006	-4.5435e-006
2.600000e+002	9.7151e-007	-2.2584e-006	4.1215e-006	-7.3105e-006
2.700000e+002	1.7364e-006	-3.8179e-006	6.7048e-006	-1.1523e-005
2.800000e+002	3.0616e-006	-6.3563e-006	1.0727e-005	-1.7837e-005
2.900000e+002	5.3395e-006	-1.0451e-005	1.6925e-005	-2.7198e-005
3.000000e+002	9.2355e-006	-1.7019e-005	2.6421e-005	-4.0986e-005
3.100000e+002	1.5889e-005	-2.7540e-005	4.0948e-005	-6.1260e-005
3.200000e+002	2.7272e-005	-4.4431e-005	6.3232e-005	-9.1174e-005
3.300000e+002	4.6845e-005	-7.1718e-005	9.7663e-005	-1.3568e-004
3.400000e+002	8.0777e-005	-1.1623e-004	1.5146e-004	-2.0273e-004
3.500000e+002	1.4026e-004	-1.8981e-004	2.3679e-004	-3.0547e-004
3.600000e+002	2.4599e-004	-3.1337e-004	3.7457e-004	-4.6607e-004
3.700000e+002	4.3612e-004	-5.2365e-004	6.0033e-004	-7.2117e-004
3.800000e+002	7.8170e-004	-8.8586e-004	9.7511e-004	-1.1321e-003
3.900000e+002	1.4164e-003	-1.5169e-003	1.6050e-003	-1.8030e-003
4.000000e+002	2.5938e-003	-2.6286e-003	2.6762e-003	-2.9117e-003
4.100000e+002	4.7997e-003	-4.6082e-003	4.5191e-003	-4.7664e-003
4.200000e+002	8.9729e-003	-8.1710e-003	7.7253e-003	-7.9061e-003
4.300000e+002	1.6944e-002	-1.4650e-002	1.3365e-002	-1.3283e-002
4.400000e+002	3.2313e-002	-2.6554e-002	2.3395e-002	-2.2595e-002
4.500000e+002	5.8169e-002	-4.5651e-002	3.8977e-002	-3.6694e-002
4.600000e+002	7.5894e-002	-5.6347e-002	4.6310e-002	-4.2257e-002
4.700000e+002	8.8965e-002	-6.0862e-002	4.7149e-002	-4.0906e-002
4.800000e+002	9.7331e-002	-5.9215e-002	4.1776e-002	-3.3207e-002
4.900000e+002	1.0133e-001	-5.2049e-002	3.1234e-002	-2.0623e-002
5.000000e+002	1.0156e-001	-4.0427e-002	1.7064e-002	-5.1606e-003
5.100000e+002	9.8725e-002	-2.5631e-002	1.0345e-003	1.0985e-002
5.200000e+002	9.3568e-002	-8.9933e-003	-1.5101e-002	2.5749e-002
5.300000e+002	8.6793e-002	8.2354e-003	-2.9785e-002	3.7433e-002
5.400000e+002	7.9020e-002	2.4971e-002	-4.1776e-002	4.4859e-002
5.500000e+002	7.0774e-002	4.0350e-002	-5.0222e-002	4.7426e-002
5.600000e+002	6.2469e-002	5.3743e-002	-5.4664e-002	4.5103e-002
5.700000e+002	5.4419e-002	6.4757e-002	-5.5018e-002	3.8350e-002
