Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12	el Psi 13	el Psi 14	el Psi 15
2.000000e+001	1.2340e-007	-3.6163e-007	7.5820e-007	1.3030e-006	4.5730e-007	-5.3611e-007	8.0945e-007	-1.1474e-006	1.3893e-006	-1.5218e-006	1.6355e-006	-1.7790e-006	1.9609e-006	-2.1999e-006	2.5859e-006
3.000000e+001	7.2848e-007	-2.0968e-006	4.3163e-006	7.3415e-006	2.5255e-006	-2.9099e-006	4.3387e-006	-6.0903e-006	7.3139e-006	-7.9523e-006	8.4889e-006	-9.1772e-006	1.0059e-005	-1.1228e-005	1.3132e-005
4.000000e+001	4.7352e-006	-1.3402e-005	2.7120e-005	4.5685e-005	1.5424e-005	-1.7488e-005	2.5770e-005	-3.5845e-005	4.2717e-005	-4.6125e-005	4.8927e-005	-5.2593e-005	5.7349e-005	-6.3705e-005	7.4162e-005
5.000000e+001	2.9087e-005	-8.0880e-005	1.6073e-004	2.6801e-004	8.8717e-005	-9.8884e-005	1.4392e-004	-1.9826e-004	2.3435e-004	-2.5120e-004	2.6468e-004	-2.8280e-004	3.0668e-004	-3.3894e-004	3.9263e-004
6.000000e+001	1.6345e-004	-4.4574e-004	8.6839e-004	1.4318e-003	4.6375e-004	-5.0724e-004	7.2815e-004	-9.9246e-004	1.1626e-003	-1.2360e-003	1.2927e-003	-1.3719e-003	1.4787e-003	-1.6251e-003	1.8721e-003
7.000000e+001	4.5982e-004	-1.2055e-003	2.2539e-003	3.6294e-003	1.1218e-003	-1.1772e-003	1.6385e-003	-2.1795e-003	2.5002e-003	-2.6080e-003	2.6803e-003	-2.7991e-003	2.9727e-003	-3.2225e-003	3.6625e-003
8.000000e+001	1.2610e-003	-3.1619e-003	5.6392e-003	8.8343e-003	2.5841e-003	-2.5796e-003	3.4572e-003	-4.4613e-003	4.9849e-003	-5.0750e-003	5.0988e-003	-5.2142e-003	5.4310e-003	-5.7809e-003	6.4517e-003
9.000000e+001	3.4962e-003	-8.3813e-003	1.4250e-002	2.1707e-002	6.0007e-003	-5.6887e-003	7.3288e-003	-9.1601e-003	9.9528e-003	-9.8725e-003	9.6795e-003	-9.6751e-003	9.8649e-003	-1.0291e-002	1.1254e-002
1.000000e+002	9.6082e-003	-2.2012e-002	3.5659e-002	5.2806e-002	1.3785e-002	-1.2400e-002	1.5344e-002	-1.8561e-002	1.9596e-002	-1.8924e-002	1.8090e-002	-1.7658e-002	1.7607e-002	-1.7982e-002	1.9250e-002
1.100000e+002	2.5443e-002	-5.5601e-002	8.5641e-002	1.2312e-001	3.0268e-002	-2.5762e-002	3.0548e-002	-3.5692e-002	3.6547e-002	-3.4294e-002	3.1905e-002	-3.0356e-002	2.9548e-002	-2.9491e-002	3.0841e-002
