Y (ang)	Ec (eV)	Ev (eV)	E (V/cm)	Ef (eV)	n (cm-3)	p (cm-3)	Nd - Na (cm-3)
0.000000e+000	-6.40000000e+000	-9.80000000e+000	3.88933321e+007	-7.00000000e+000	1.8691e+008	1.0000e-010	0.0000e+000
1.000000e+001	-2.21946679e+000	-5.98346679e+000	1.21311206e+007	0.00000000e+000	1.3436e+021	1.0000e-010	-7.0161e+019
2.000000e+001	-9.52594726e-001	-4.78379473e+000	4.58272884e+006	0.00000000e+000	3.7809e+020	1.0000e-010	-1.3391e+019
3.000000e+001	-4.40561841e-001	-4.33896184e+000	2.01552302e+006	0.00000000e+000	1.1933e+020	1.0000e-010	-1.3528e+019
4.000000e+001	-1.85249540e-001	-4.15084954e+000	1.10843030e+006	0.00000000e+000	3.3213e+019	1.0000e-010	-1.3664e+019
5.000000e+001	-2.06465100e-002	-4.05344651e+000	7.81766244e+005	0.00000000e+000	3.0879e+018	1.0000e-010	-1.3801e+019
6.000000e+001	-2.95045886e-001	-3.88712589e+000	1.19583780e+006	0.00000000e+000	6.5760e+019	1.0000e-010	8.8022e+019
7.000000e+001	-1.47954905e-001	-3.77441891e+000	6.10440009e+005	0.00000000e+000	2.3897e+019	1.0000e-010	-6.6559e+018
8.000000e+001	-5.94037043e-002	-3.72025170e+000	3.42042524e+005	0.00000000e+000	7.3025e+018	1.0000e-010	-6.6917e+018
9.000000e+001	2.30774814e-003	-3.69292425e+000	1.82089677e+005	0.00000000e+000	1.6001e+018	1.0000e-010	-6.7274e+018
1.000000e+002	4.80239158e-002	-3.68159208e+000	4.54746328e+004	0.00000000e+000	3.3258e+017	1.0000e-010	-6.7632e+018
1.100000e+002	-1.30257421e-001	-3.63133742e+000	5.11328145e+005	0.00000000e+000	1.9896e+019	1.0000e-010	4.4281e+019
1.200000e+002	-6.45646064e-002	-3.58384461e+000	2.91876115e+005	0.00000000e+000	8.0195e+018	1.0000e-010	-3.4685e+018
1.300000e+002	-2.08169949e-002	-3.55829699e+000	1.66086981e+005	0.00000000e+000	3.1018e+018	1.0000e-010	-3.4785e+018
1.400000e+002	1.03517033e-002	-3.54532830e+000	7.56066315e+004	0.00000000e+000	1.2398e+018	1.0000e-010	-3.4886e+018
1.500000e+002	3.24723664e-002	-3.54140763e+000	-2.60958251e+003	0.00000000e+000	5.8365e+017	1.0000e-010	-3.4986e+018
1.600000e+002	-6.43325918e-002	-3.51753259e+000	2.84160562e+005	0.00000000e+000	7.9865e+018	1.0000e-010	2.3011e+019
1.700000e+002	-2.82557357e-002	-3.49103174e+000	1.78191609e+005	0.00000000e+000	3.7458e+018	1.0000e-010	-1.8099e+018
1.800000e+002	-2.77577481e-003	-3.47512777e+000	1.07951678e+005	0.00000000e+000	1.8683e+018	1.0000e-010	-1.8126e+018
1.900000e+002	1.56801929e-002	-3.46624781e+000	5.34210890e+004	0.00000000e+000	1.0407e+018	1.0000e-010	-1.8154e+018
2.000000e+002	2.86831018e-002	-3.46282090e+000	5.93924242e+003	0.00000000e+000	6.6706e+017	1.0000e-010	-1.8182e+018
2.100000e+002	-4.39261739e-002	-3.44392617e+000	2.32493155e+005	0.00000000e+000	5.3651e+018	1.0000e-010	1.7260e+019
2.200000e+002	-1.21648585e-002	-3.42280486e+000	1.47839858e+005	0.00000000e+000	2.4534e+018	1.0000e-010	-1.9940e+018
2.300000e+002	1.11311273e-002	-3.41014887e+000	8.67787804e+004	0.00000000e+000	1.2088e+018	1.0000e-010	-1.9974e+018
