Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12	el Psi 13	el Psi 14	el Psi 15
2.000000e+001	6.2869e-008	-1.5439e-007	7.2432e-007	-2.4079e-007	1.7314e-007	-2.4319e-007	3.4846e-007	-4.4747e-007	5.1898e-007	-5.7342e-007	6.2551e-007	-6.8169e-007	7.4461e-007	-8.2931e-007	9.7686e-007
3.000000e+001	3.9404e-007	-9.4511e-007	4.3577e-006	-1.4293e-006	1.0042e-006	-1.3888e-006	1.9673e-006	-2.5031e-006	2.8800e-006	-3.1597e-006	3.4249e-006	-3.7112e-006	4.0327e-006	-4.4698e-006	5.2396e-006
4.000000e+001	2.6621e-006	-6.2434e-006	2.8317e-005	-9.1697e-006	6.3025e-006	-8.5882e-006	1.2033e-005	-1.5176e-005	1.7329e-005	-1.8884e-005	2.0346e-005	-2.1927e-005	2.3709e-005	-2.6158e-005	3.0522e-005
5.000000e+001	1.6797e-005	-3.8461e-005	1.7139e-004	-5.4746e-005	3.6751e-005	-4.9292e-005	6.8260e-005	-8.5275e-005	9.6582e-005	-1.0449e-004	1.1184e-004	-1.1983e-004	1.2888e-004	-1.4149e-004	1.6428e-004
6.000000e+001	9.6332e-005	-2.1480e-004	9.3868e-004	-2.9531e-004	1.9311e-004	-2.5447e-004	3.4781e-004	-4.2992e-004	4.8250e-004	-5.1776e-004	5.5018e-004	-5.8559e-004	6.2606e-004	-6.8349e-004	7.8913e-004
7.000000e+001	3.0491e-004	-6.4749e-004	2.7275e-003	-8.3351e-004	5.1793e-004	-6.5887e-004	8.7699e-004	-1.0608e-003	1.1682e-003	-1.2325e-003	1.2896e-003	-1.3535e-003	1.4286e-003	-1.5411e-003	1.7578e-003
8.000000e+001	9.5245e-004	-1.9177e-003	7.7576e-003	-2.2952e-003	1.3464e-003	-1.6451e-003	2.1234e-003	-2.5041e-003	2.6967e-003	-2.7880e-003	2.8639e-003	-2.9554e-003	3.0711e-003	-3.2644e-003	3.6682e-003
9.000000e+001	2.9927e-003	-5.7117e-003	2.2181e-002	-6.3517e-003	3.5144e-003	-4.1209e-003	5.1544e-003	-5.9216e-003	6.2313e-003	-6.3084e-003	6.3567e-003	-6.4448e-003	6.5883e-003	-6.8953e-003	7.6266e-003
1.000000e+002	9.2419e-003	-1.6704e-002	6.2228e-002	-1.7235e-002	8.9830e-003	-1.0099e-002	1.2230e-002	-1.3677e-002	1.4054e-002	-1.3923e-002	1.3753e-002	-1.3691e-002	1.3760e-002	-1.4171e-002	1.5418e-002
1.100000e+002	2.7241e-002	-4.6493e-002	1.6575e-001	-4.4313e-002	2.1675e-002	-2.3295e-002	2.7249e-002	-2.9607e-002	2.9652e-002	-2.8694e-002	2.7739e-002	-2.7068e-002	2.6706e-002	-2.7024e-002	2.8875e-002
