Y (ang)	Ec (eV)	Ev (eV)	E (V/cm)	Ef (eV)	n (cm-3)	p (cm-3)	Nd - Na (cm-3)
0.000000e+000	-6.40000000e+000	-9.80000000e+000	3.85335166e+007	-7.00000000e+000	1.8691e+008	1.0000e-010	0.0000e+000
1.000000e+001	-2.18824834e+000	-6.03624834e+000	1.20265315e+007	0.00000000e+000	1.3153e+021	1.0000e-010	-8.6922e+019
2.000000e+001	-9.45275186e-001	-4.84367519e+000	4.59776111e+006	0.00000000e+000	3.7374e+020	1.0000e-010	-1.0159e+019
3.000000e+001	-4.45179074e-001	-4.39397907e+000	2.05032928e+006	0.00000000e+000	1.2120e+020	1.0000e-010	-1.0235e+019
4.000000e+001	-1.99826146e-001	-4.19902615e+000	1.13079364e+006	0.00000000e+000	3.7080e+019	1.0000e-010	-1.0312e+019
5.000000e+001	-4.64267817e-002	-4.09602678e+000	8.19720119e+005	0.00000000e+000	5.6559e+018	1.0000e-010	-1.0389e+019
6.000000e+001	-2.82534770e-001	-3.93453477e+000	1.15721941e+006	0.00000000e+000	6.1677e+019	1.0000e-010	7.9871e+019
7.000000e+001	-1.35452828e-001	-3.82665283e+000	6.06248014e+005	0.00000000e+000	2.1037e+019	1.0000e-010	-7.6621e+018
8.000000e+001	-4.34680269e-002	-3.77386803e+000	3.56007994e+005	0.00000000e+000	5.3128e+018	1.0000e-010	-7.7086e+018
9.000000e+001	2.34927725e-002	-3.74610723e+000	1.91314019e+005	0.00000000e+000	7.9881e+017	1.0000e-010	-7.7551e+018
1.000000e+002	7.39841745e-002	-3.73481583e+000	3.82463536e+004	0.00000000e+000	1.2583e+017	1.0000e-010	-7.8015e+018
1.100000e+002	-1.59631190e-001	-3.67163119e+000	6.34584956e+005	0.00000000e+000	2.6714e+019	1.0000e-010	5.7912e+019
1.200000e+002	-7.37726946e-002	-3.61377269e+000	3.53157063e+005	0.00000000e+000	9.3827e+018	1.0000e-010	-5.3496e+018
1.300000e+002	-1.60569883e-002	-3.58405699e+000	1.98167244e+005	0.00000000e+000	2.7318e+018	1.0000e-010	-5.3733e+018
1.400000e+002	2.61597361e-002	-3.56984026e+000	8.08359918e+004	0.00000000e+000	7.2845e+017	1.0000e-010	-5.3970e+018
1.500000e+002	5.66433353e-002	-3.56735666e+000	-2.78496180e+004	0.00000000e+000	2.4169e+017	1.0000e-010	-5.4207e+018
1.600000e+002	-1.02941626e-001	-3.53094163e+000	4.12394356e+005	0.00000000e+000	1.4369e+019	1.0000e-010	3.7447e+019
1.700000e+002	-4.82621909e-002	-3.49306219e+000	2.40192430e+005	0.00000000e+000	5.8749e+018	1.0000e-010	-3.1642e+018
1.800000e+002	-1.08029479e-002	-3.47240295e+000	1.34694351e+005	0.00000000e+000	2.3611e+018	1.0000e-010	-3.1728e+018
1.900000e+002	1.61064873e-002	-3.46229351e+000	5.44040330e+004	0.00000000e+000	1.0260e+018	1.0000e-010	-3.1813e+018
2.000000e+002	3.49868906e-002	-3.46021311e+000	-1.67403409e+004	0.00000000e+000	5.3370e+017	1.0000e-010	-3.1898e+018
2.100000e+002	-4.28471435e-002	-3.44284714e+000	2.25613100e+005	0.00000000e+000	5.2424e+018	1.0000e-010	1.7963e+019
2.200000e+002	-1.58058335e-002	-3.42140583e+000	1.53983971e+005	0.00000000e+000	2.7132e+018	1.0000e-010	-1.0490e+018
2.300000e+002	4.07256361e-003	-3.40712744e+000	1.05147545e+005	0.00000000e+000	1.5145e+018	1.0000e-010	-1.0500e+018
2.400000e+002	1.90673181e-002	-3.39773268e+000	6.74342630e+004	0.00000000e+000	9.2892e+017	1.0000e-010	-1.0509e+018
2.500000e+002	3.02907444e-002	-3.39210926e+000	3.53773023e+004	0.00000000e+000	6.3043e+017	1.0000e-010	-1.0519e+018
2.600000e+002	1.59084746e-002	-3.38409153e+000	9.57106265e+004	0.00000000e+000	1.0328e+018	1.0000e-010	4.2019e+018
2.700000e+002	2.54795372e-002	-3.37452046e+000	8.15040693e+004	0.00000000e+000	7.4585e+017	1.0000e-010	0.0000e+000
2.800000e+002	3.36299442e-002	-3.36637006e+000	7.08346612e+004	0.00000000e+000	5.6015e+017	1.0000e-010	0.0000e+000
