Y (ang)	Ec (eV)	Ev (eV)	E (V/cm)	Ef (eV)	n (cm-3)	p (cm-3)	Nd - Na (cm-3)
0.000000e+000	6.00000000e-001	-8.20000000e-001	-2.57247090e+005	-0.00000000e+000	3.0325e-023	2.4820e-036	0.0000e+000
1.000000e+001	5.74275291e-001	-8.45724709e-001	-2.57247090e+005	0.00000000e+000	1.4640e-021	5.1413e-038	0.0000e+000
2.000000e+001	5.48550582e-001	-8.71449418e-001	-2.57247090e+005	0.00000000e+000	7.0675e-020	1.0650e-039	0.0000e+000
3.000000e+001	5.22825873e-001	-8.97174127e-001	-2.57247090e+005	0.00000000e+000	3.4119e-018	2.2060e-041	0.0000e+000
4.000000e+001	4.97101164e-001	-9.22898836e-001	-2.57247090e+005	0.00000000e+000	1.6471e-016	4.5695e-043	0.0000e+000
5.000000e+001	7.03276455e-001	-1.09482354e+000	-2.76224334e+005	0.00000000e+000	8.4738e-030	1.0000e-010	0.0000e+000
6.000000e+001	6.75654022e-001	-1.12244598e+000	-2.76224334e+005	0.00000000e+000	5.4453e-028	1.0000e-010	0.0000e+000
7.000000e+001	6.48031588e-001	-1.15006841e+000	-2.76224334e+005	0.00000000e+000	3.4992e-026	1.0000e-010	0.0000e+000
8.000000e+001	6.20409155e-001	-1.17769085e+000	-2.76224334e+005	0.00000000e+000	2.2486e-024	1.0000e-010	0.0000e+000
9.000000e+001	5.92786722e-001	-1.20531328e+000	-2.76224334e+005	0.00000000e+000	1.4450e-022	1.0000e-010	0.0000e+000
1.000000e+002	5.65164288e-001	-1.23293571e+000	-2.76224334e+005	0.00000000e+000	9.2853e-021	1.0000e-010	0.0000e+000
1.100000e+002	5.37541855e-001	-1.26055815e+000	-2.76224334e+005	0.00000000e+000	5.9668e-019	1.0000e-010	0.0000e+000
1.200000e+002	5.09919421e-001	-1.28818058e+000	-2.76224334e+005	0.00000000e+000	3.8343e-017	1.0000e-010	0.0000e+000
1.300000e+002	4.82296988e-001	-1.31580301e+000	-2.76224334e+005	0.00000000e+000	2.4639e-015	1.0000e-010	0.0000e+000
1.400000e+002	4.54674555e-001	-1.34342545e+000	-2.76224334e+005	0.00000000e+000	1.5833e-013	1.0000e-010	0.0000e+000
1.500000e+002	3.49752121e-001	-1.32364788e+000	-2.40642659e+005	0.00000000e+000	1.0122e-006	1.0000e-010	2.0000e+018
1.600000e+002	3.25687855e-001	-1.34771214e+000	-2.11690367e+005	0.00000000e+000	3.8047e-005	1.0000e-010	2.0000e+018
1.700000e+002	3.04518819e-001	-1.36888118e+000	-1.82738076e+005	0.00000000e+000	9.2444e-004	1.0000e-010	2.0000e+018
1.800000e+002	2.86245011e-001	-1.38715499e+000	-1.53785784e+005	0.00000000e+000	1.4519e-002	1.0000e-010	2.0000e+018
1.900000e+002	2.70866433e-001	-1.40253357e+000	-1.24833493e+005	0.00000000e+000	1.4740e-001	1.0000e-010	2.0000e+018
2.000000e+002	1.03783083e-001	-1.31621692e+000	-1.19115928e+005	0.00000000e+000	9.1243e+009	1.0000e-010	0.0000e+000
2.100000e+002	9.18714906e-002	-1.32812851e+000	-1.19115929e+005	0.00000000e+000	5.4934e+010	1.0000e-010	0.0000e+000
2.200000e+002	7.99598977e-002	-1.34004010e+000	-1.19115934e+005	0.00000000e+000	3.3074e+011	1.0000e-010	0.0000e+000
2.300000e+002	6.80483043e-002	-1.35195170e+000	-1.19115961e+005	0.00000000e+000	1.9912e+012	1.0000e-010	0.0000e+000
2.400000e+002	5.61367082e-002	-1.36386329e+000	-1.19116127e+005	0.00000000e+000	1.1989e+013	1.0000e-010	0.0000e+000
2.500000e+002	4.42250956e-002	-1.37577490e+000	-1.19117123e+005	0.00000000e+000	7.2179e+013	1.0000e-010	0.0000e+000
2.600000e+002	3.23133832e-002	-1.38768662e+000	-1.19123123e+005	0.00000000e+000	4.3457e+014	1.0000e-010	0.0000e+000
2.700000e+002	2.04010709e-002	-1.39959893e+000	-1.19158678e+005	0.00000000e+000	2.5753e+015	1.0000e-010	0.0000e+000
2.800000e+002	8.48520311e-003	-1.41151480e+000	-1.19357757e+005	0.00000000e+000	1.4419e+016	1.0000e-010	0.0000e+000
2.900000e+002	-3.45057258e-003	-1.42345057e+000	-1.20243237e+005	0.00000000e+000	6.4128e+016	1.0000e-010	0.0000e+000
3.000000e+002	1.39125104e-001	-1.53427490e+000	-9.70626212e+004	0.00000000e+000	6.1836e+007	1.0000e-010	2.0000e+018
3.100000e+002	1.29418842e-001	-1.54398116e+000	-6.81103297e+004	0.00000000e+000	2.6701e+008	1.0000e-010	2.0000e+018
3.200000e+002	1.22607809e-001	-1.55079219e+000	-3.91580383e+004	0.00000000e+000	7.4524e+008	1.0000e-010	2.0000e+018
3.300000e+002	1.18692005e-001	-1.55470800e+000	-1.02057468e+004	0.00000000e+000	1.3446e+009	1.0000e-010	2.0000e+018
3.400000e+002	1.17671430e-001	-1.55572857e+000	1.87465446e+004	0.00000000e+000	1.5680e+009	1.0000e-010	2.0000e+018
3.500000e+002	-3.50539154e-002	-1.45505392e+000	1.04744629e+004	0.00000000e+000	5.3674e+017	1.0000e-010	0.0000e+000
3.600000e+002	-3.40064691e-002	-1.45400647e+000	3.37556783e+003	0.00000000e+000	5.1396e+017	1.0000e-010	0.0000e+000
3.700000e+002	-3.36689124e-002	-1.45366891e+000	-3.62324432e+003	0.00000000e+000	5.0671e+017	1.0000e-010	0.0000e+000
3.800000e+002	-3.40312368e-002	-1.45403124e+000	-1.07295077e+004	0.00000000e+000	5.1449e+017	1.0000e-010	0.0000e+000
3.900000e+002	-3.51041876e-002	-1.45510419e+000	-1.81582187e+004	0.00000000e+000	5.3783e+017	1.0000e-010	0.0000e+000
4.000000e+002	-3.69200094e-002	-1.45692001e+000	-2.61470486e+004	0.00000000e+000	5.7837e+017	1.0000e-010	0.0000e+000
4.100000e+002	-3.95347143e-002	-1.45953471e+000	-3.49740696e+004	0.00000000e+000	6.3905e+017	1.0000e-010	0.0000e+000
4.200000e+002	-4.30321212e-002	-1.46303212e+000	-4.49802269e+004	0.00000000e+000	7.2441e+017	1.0000e-010	0.0000e+000
4.300000e+002	-4.75301439e-002	-1.46753014e+000	-5.65411042e+004	0.00000000e+000	8.3697e+017	1.0000e-010	0.0000e+000
4.400000e+002	-5.31842544e-002	-1.47318425e+000	-7.01569897e+004	0.00000000e+000	9.8574e+017	1.0000e-010	0.0000e+000
4.500000e+002	9.44000467e-002	-1.57899995e+000	-4.45722345e+004	0.00000000e+000	5.2288e+010	1.0000e-010	2.0000e+018
4.600000e+002	8.99428232e-002	-1.58345718e+000	-1.56199445e+004	0.00000000e+000	1.0236e+011	1.0000e-010	2.0000e+018
4.700000e+002	8.83808288e-002	-1.58501917e+000	1.33323451e+004	0.00000000e+000	1.2953e+011	1.0000e-010	2.0000e+018
4.800000e+002	8.97140633e-002	-1.58368594e+000	4.22846350e+004	0.00000000e+000	1.0595e+011	1.0000e-010	2.0000e+018
4.900000e+002	9.39425268e-002	-1.57945747e+000	7.12369257e+004	0.00000000e+000	5.6019e+010	1.0000e-010	2.0000e+018
5.000000e+002	-5.35337806e-002	-1.47353378e+000	5.42273844e+004	0.00000000e+000	9.9521e+017	1.0000e-010	0.0000e+000
5.100000e+002	-4.81110422e-002	-1.46811104e+000	4.24609036e+004	0.00000000e+000	8.5184e+017	1.0000e-010	0.0000e+000
5.200000e+002	-4.38649518e-002	-1.46386495e+000	3.21670539e+004	0.00000000e+000	7.4523e+017	1.0000e-010	0.0000e+000
5.300000e+002	-4.06482464e-002	-1.46064825e+000	2.29717898e+004	0.00000000e+000	6.6569e+017	1.0000e-010	0.0000e+000
5.400000e+002	-3.83510675e-002	-1.45835107e+000	1.45288198e+004	0.00000000e+000	6.1123e+017	1.0000e-010	0.0000e+000
5.500000e+002	-3.68981855e-002	-1.45689819e+000	6.54682904e+003	0.00000000e+000	5.7786e+017	1.0000e-010	0.0000e+000
5.600000e+002	-3.62435026e-002	-1.45624350e+000	-1.23120877e+003	0.00000000e+000	5.6309e+017	1.0000e-010	0.0000e+000
